Producto|Brand|Categories
Almendra frita sal con romero tarrina 190 g|(Sin marca)|Aperitivos y snacks, Frutos secos
Almendra largueta piel frita Carrefour tarrina 250 g|Carrefour|Aperitivos y snacks
Almendra tostada con sal Hacendado|Hacendado|Aperitivos y snacks, Frutos secos
Almendras crudas Carrefour 200 g.|Carrefour|Aperitivos y snacks, Frutos secos
Almendras fritas y saladas Carrefour 200 g.|Carrefour|Aperitivos y snacks
Almendras Hacendado chocolate negro|Hacendado|Aperitivos y snacks, Frutos secos
Almendras tostadas sin sal Almond Wonderful 200 g.|Almond Wonderful|Aperitivos y snacks, Frutos secos
Anacardo crudo Carrefour 200 g.|Carrefour|Aperitivos y snacks
Anacardo frito Hacendado|Hacendado|Aperitivos y snacks, Frutos secos
Anacardos crudos ecológicos Medina 100 g.|Medina|Aperitivos y snacks
Anacardos fritos y salados Carrefour 200 g.|Carrefour|Aperitivos y snacks
Anillos de maiz Kaskys Tosfrit|Tosfrit|Aperitivos y snacks
Aperitivo de maíz crujiente con cacahuetes Carrefour 90 g.|Carrefour|Aperitivos y snacks
Aperitivo de maíz enrollado sabor lima picante Eagle Takis 150 g.|Eagle Takis|Aperitivos y snacks
Aperitivo de patata japanese bbq tereyaki Pringles 160 g.|Pringles|Aperitivos y snacks
Aperitivo de patata sabor ketchup Apetinas Tosfrit sin gluten 35 g.|Tosfrit|Aperitivos y snacks
Aperitivo de patata sabor original Gurma Chips Surf sin gluten 160 g.|Gurma Chips Surf|Aperitivos y snacks
Aperitivo de patata sabor paprika Pringles 200 g.|Pringles|Aperitivos y snacks
Aperitivo sabor mantequilla Jumpers 100 g.|Jumpers|Aperitivos y snacks
Aperitivos de maíz Doritos Bits 115 g.|Doritos Bits|Aperitivos y snacks
Aros de cebolla rebozados Hacendado ultracongelados|Hacendado|Aperitivos y snacks, Congelados
Aros de maíz sabor barbacoa Facundo chaskis sin gluten 100 g.|Facundo|Aperitivos y snacks
Avellana repelada tostada sin sal Carrefour tarrina 225 g|Carrefour|Aperitivos y snacks, Frutos secos
Bombitas de maíz sabor mantequilla Hacendado|Hacendado|Aperitivos y snacks
Cacahuete cascara tostado salado Carrefour bl/250 g|Carrefour|Aperitivos y snacks
Cacahuete frito con piel Hacendado|Hacendado|Aperitivos y snacks
Cacahuetes fritos con miel Eagle 75 g.|Eagle|Aperitivos y snacks
Cacahuetes salados Frit Ravich sin gluten 200 g.|Frit Ravich|Aperitivos y snacks
Cacahuetes tostados y salados 250 g.|(Sin marca)|Aperitivos y snacks
Cocktail de aperitivos Frit Ravich 120 g.|Frit Ravich|Aperitivos y snacks
Cocktail de aperitivos Frit Ravich 325 g.|Frit Ravich|Aperitivos y snacks
Cocktail de frutos secos crudos Borges sin gluten 130 g.|Borges|Aperitivos y snacks
Cocktail de frutos secos ecológicos Paño 90 g.|Paño|Aperitivos y snacks
Cocktail de frutos secos Frit Ravich 1 kg.|Frit Ravich|Aperitivos y snacks
Cocktail de frutos secos Medina 200 g.|Medina|Aperitivos y snacks
Cocktail de frutos secos mix barbacoa Grefusa Mister Corn 195 g.|Grefusa Mister Corn|Aperitivos y snacks
Cocktail de frutos secos salado Borges 200 g.|Borges|Aperitivos y snacks
Cocktail mix natural Hacendado|Hacendado|Aperitivos y snacks
Cocktail rodeo Hacendado|Hacendado|Aperitivos y snacks, Frutos secos
Cocktail rumba Hacendado|Hacendado|Aperitivos y snacks
Conchitas de patata sabor ketchup Jumpers Vidal 100 g.|Jumpers Vidal|Aperitivos y snacks
Cortezas de lentejas ecológicas Ecocesta 65 g.|Ecocesta|Aperitivos y snacks, Salud
Cortezas de trigo  Boca Bits Matutano 84 g.|Matutano|Aperitivos y snacks
Cuquitos sabor queso Hacendado|Hacendado|Aperitivos y snacks
Cóctel frutos secos sin sal Carrefour tarrina 150 g|Carrefour|Aperitivos y snacks
Cóctel Hacendado|Hacendado|Aperitivos y snacks
Cóctel miel y chili Carrefour tarrina 200 g|Carrefour|Aperitivos y snacks
DIA cocktail natural frutos secos bolsa 125 gr|DIA|Aperitivos y snacks
DIA conos de maíz sabor queso y bacon bolsa 85 gr|DIA|Aperitivos y snacks
DIA DELICIOUS cocktail frutos secos bolsa 180 gr|DIA DELICIOUS|Aperitivos y snacks
DIA DELICIOUS mini tostas con pasas bolsa 125 gr|DIA DELICIOUS|Aperitivos y snacks
