Producto|Brand|Categories
Alas de pollo Carrefour 1,4 kg aprox|Carrefour|Carnicería
Alas de pollo congeladas 1 kg|(Sin marca)|Carnicería
Alitas de pollo adobadas sabor asado bandeja 450 gr|(Sin marca)|Carnicería
Alitas de pollo partidas 520 gr|(Sin marca)|Carnicería
Alitas de pollo sabor asado bolsa 750 gr|(Sin marca)|Carnicería
Arreglo para paella con pollo y conejo|(Sin marca)|Carnicería
Arreglo para puchero (peso aprox. 1.2 Kg)|(Sin marca)|Carnicería
Brochetas de pavo|(Sin marca)|Carnicería
BROOKLYN TOWN hamburguesa de carne de raza L bolsa 2 uds 130 gr|BROOKLYN TOWN|Carnicería
Burger de cerdo ibérico gruesas|(Sin marca)|Carnicería
Burger de pavo y espinacas|(Sin marca)|Carnicería
Burger de pavo y pollo|(Sin marca)|Carnicería
Burger de pollo con queso|(Sin marca)|Carnicería
Burger de pollo, cerdo y verdura|(Sin marca)|Carnicería
Burger de vacuno y cerdo con jamón y cebolla caramelizada|(Sin marca)|Carnicería
Burger de vacuno y cerdo gruesas|(Sin marca)|Carnicería
Cadera de vacuno añojo|(Sin marca)|Carnicería
Carcasa y espinazo de pollo|(Sin marca)|Carnicería
Carpaccio de vacuno|(Sin marca)|Carnicería
Carpaccio de vacuno marinado Roler 110 g|Roler|Carnicería
Carrillada de cerdo|(Sin marca)|Carnicería
Chuleta de aguja de cerdo Carrefour 1 kg aprox|Carrefour|Carnicería
Chuleta de lomo bandeja 600 gr|(Sin marca)|Carnicería
Chuleta de pavo Carrefour 500 g aprox|Carrefour|Carnicería
Chuleta de pierna de cordero Círculo de Calidad 500 g aprox|Círculo de Calidad|Carnicería
Chuletas aguja de cerdo|(Sin marca)|Carnicería
Chuletas cordero de lechal congeladas|(Sin marca)|Carnicería
Chuletas de cordero paletilla|(Sin marca)|Carnicería
Chuletas de cordero palo o riñonada congeladas|(Sin marca)|Carnicería
Chuletas de lomo de cerdo Carrefour 500 g aprox|Carrefour|Carnicería
Chuletas de pavo al ajillo bandeja (peso aprox. 800 gr)|(Sin marca)|Carnicería
Chuletas de pavo contramuslo|(Sin marca)|Carnicería
Chuletas lomo de cerdo|(Sin marca)|Carnicería
Chuletero centro s/cabeza de cerdo limpio y pulido pieza entera sin corte 6 Kg aprox|(Sin marca)|Carnicería
