Producto|Brand|Categories
AOSTE mousse de foie de pato medallón (peso aprox. 150 gr)|AOSTE|Charcutería
Asado de pavo y pollo Carrefour sin gluten 800 g.|Carrefour|Charcutería
Bacon ahumado cocido 200 g|(Sin marca)|Charcutería
Bacon ahumado en lonchas El Pozo pack de 2 unidades de 180 g envase de 360 g|El Pozo|Charcutería
Bacon cocido y ahumado en lonchas sin lactosa 120 g|(Sin marca)|Charcutería
Bacon cocido y ahumado Schara 100 g.|Schara|Charcutería
Bacon corte grueso Oscar Mayer sin gluten 175 g.|Oscar Mayer|Charcutería
Bacon lonchas ecológico Biobardales 100 g.|Biobardales|Charcutería
Bacón ahumado Monells lonchas|Monells|Charcutería
Bacón Hacendado cintas|Hacendado|Charcutería
Bloc foie gras de pato Hacendado|Hacendado|Charcutería
Bloc foie gras de pato Martiko|Martiko|Charcutería
Bloque de hígado de pato blister Martiko 130 g.|Martiko|Charcutería
Bloque de hígado de pato Martiko pack de 2 unidades de 40 g.|Martiko|Charcutería
BOADAS longaniza de payes 80 gr|BOADAS|Charcutería
Butifarra blanca aperitivo|(Sin marca)|Charcutería
Butifarra catalana De Nuestra Tierra 250 g.|De Nuestra Tierra|Charcutería
Butifarra negra de matanza Peña Cruz 400 g|Peña Cruz|Charcutería
Cabecero de lomo 50 % raza ibérica 100 g|(Sin marca)|Charcutería
Cabecero de lomo Hacendado|Hacendado|Charcutería
Cabeza de cerdo ibérica con pistachos Frial 250 g aprox|Frial|Charcutería
Cabeza de cerdo ibérica con pistachos Frial al corte 250 g aprox|Frial|Charcutería
Cabeza de cerdo trufa con pistachos Hacendado finas lonchas|Hacendado|Charcutería
Cabeza de jabalí en lonchas sin gluten y sin lactosa 120 g|(Sin marca)|Charcutería
CAMPOFRIO salchichas de pavo pack 3 x 170 gr|CAMPOFRIO|Charcutería
CAMPOFRÍO Finissimas jamón cocido extra sobre 115 gr|CAMPOFRÍO|Charcutería
CAMPOFRÍO Finissimas pechuga de pavo braseado en lonchas sobre 115 gr|CAMPOFRÍO|Charcutería
CAMPOFRÍO Finissimas pechuga de pavo sobre 115 gr|CAMPOFRÍO|Charcutería
CAMPOFRÍO mini stick de chorizo envase 50 gr|CAMPOFRÍO|Charcutería
CAMPOFRÍO Vegalia lonchas vegetarianas a las hierbas sobre 100 gr|CAMPOFRÍO|Charcutería, Vegetal
Caprichos de fuet original curado Casademont sin gluten 50 g|Casademont|Charcutería
CASA TARRADELLAS cintas de bacon envase 2x100 gr|CASA TARRADELLAS|Charcutería
Caña de lomo cebo ibérico La Hacienda del ibérico|La Hacienda del ibérico|Charcutería
Caña de lomo curada raza Duroc La Hoguera pieza 800 g aprox|La Hoguera|Charcutería
Cecina de León moldeada La Encina 250 g aprox|La Encina|Charcutería
