Producto|Brand|Categories
Bacon ahumado cocido 200 g|(Sin marca)|Charcutería, Bacon y Otros
Bacon ahumado en lonchas El Pozo pack de 2 unidades de 180 g envase de 360 g|El Pozo|Charcutería, Bacon y Otros
Bacon cocido y ahumado en lonchas sin lactosa 120 g|(Sin marca)|Charcutería, Bacon y Otros
Bacon cocido y ahumado Schara 100 g.|Schara|Charcutería, Bacon y Otros
Bacon corte grueso Oscar Mayer sin gluten 175 g.|Oscar Mayer|Charcutería, Bacon y Otros
Bacon lonchas ecológico Biobardales 100 g.|Biobardales|Charcutería, Bacon y Otros
Bacón ahumado Monells lonchas|Monells|Charcutería, Bacon y Otros
Bacón Hacendado cintas|Hacendado|Charcutería, Bacon y Otros
CASA TARRADELLAS cintas de bacon envase 2x100 gr|CASA TARRADELLAS|Charcutería, Bacon y Otros
Chuleta de sajonia bandeja 400 gr|(Sin marca)|Charcutería, Bacon y Otros
Chuletas de cerdo sajonia|(Sin marca)|Charcutería, Bacon y Otros
Cintas de bacon Casa Tarradellas pack de 2 unidades de 100 g.|Casa Tarradellas|Charcutería, Bacon y Otros
Cortezas de cerdo 400 g|(Sin marca)|Charcutería, Bacon y Otros
DIA bacon en lonchas sobre 200 gr|DIA|Charcutería, Bacon y Otros
LA CARLOTEÑA redondo de pollo asado relleno de bacon envase 250 gr|LA CARLOTEÑA|Charcutería, Bacon y Otros
MONELLS taco de bacon ahumado natural pieza 300 gr|MONELLS|Charcutería, Bacon y Otros
Panceta adobada torrezno|(Sin marca)|Charcutería, Bacon y Otros
Panceta curada adobada taco raza Duroc Hidisa 200 g|Hidisa|Charcutería, Bacon y Otros
Panceta curada con pimienta loncheada Hidisa envase 130 g|Hidisa|Charcutería, Bacon y Otros
Panceta curada deshuesada Carrefour De Nuestra Tierra sin gluten 450 g.|De Nuestra Tierra|Charcutería, Bacon y Otros
Panceta ibérica envasada al vacío El Chico sin gluten y sin lactosa 300 g.|El Chico|Charcutería, Bacon y Otros
Tiras de bacon ahumado natural Monells 200 g.|Monells|Charcutería, Bacon y Otros
Tiras de bacon natural ahumado El Pozo pack de 2 unidades de 55 g.|El Pozo|Charcutería, Bacon y Otros
Tiras de bacon Oscar Mayer sin gluten 130 g.|Oscar Mayer|Charcutería, Bacon y Otros
Torrezno de Soria La Hoguera 215 g|La Hoguera|Charcutería, Bacon y Otros
