Producto|Brand|Categories
Asado de pavo y pollo Carrefour sin gluten 800 g.|Carrefour|Charcutería, Cocidos y Fiambres
Cabeza de cerdo ibérica con pistachos Frial 250 g aprox|Frial|Charcutería, Cocidos y Fiambres
Cabeza de cerdo ibérica con pistachos Frial al corte 250 g aprox|Frial|Charcutería, Cocidos y Fiambres
Cabeza de cerdo trufa con pistachos Hacendado finas lonchas|Hacendado|Charcutería, Cocidos y Fiambres
Cabeza de jabalí en lonchas sin gluten y sin lactosa 120 g|(Sin marca)|Charcutería, Cocidos y Fiambres
CAMPOFRIO salchichas de pavo pack 3 x 170 gr|CAMPOFRIO|Charcutería, Cocidos y Fiambres
CAMPOFRÍO Finissimas jamón cocido extra sobre 115 gr|CAMPOFRÍO|Charcutería, Cocidos y Fiambres
CAMPOFRÍO Finissimas pechuga de pavo braseado en lonchas sobre 115 gr|CAMPOFRÍO|Charcutería, Cocidos y Fiambres
CAMPOFRÍO Finissimas pechuga de pavo sobre 115 gr|CAMPOFRÍO|Charcutería, Cocidos y Fiambres
Chicharrón frito  loncheado Embutidos Frial  200 g|Embutidos Frial|Charcutería, Cocidos y Fiambres
Chopped cocido en lata Hacendado finas lonchas|Hacendado|Charcutería, Cocidos y Fiambres
Chopped veggie Noel lonchas|Noel|Charcutería, Cocidos y Fiambres
Chorizo de pavo extra Carrefour sin gluten pack de 2 unidades de 75 g.|Carrefour|Charcutería, Cocidos y Fiambres
Chorizo de pavo Hacendado lonchas|Hacendado|Charcutería, Cocidos y Fiambres
Dados de pavo Hacendado|Hacendado|Charcutería, Cocidos y Fiambres
Delicias de fiambre pollo y queso|(Sin marca)|Charcutería, Cocidos y Fiambres
DIA cabeza de jabalí sobre 200 gr|DIA|Charcutería, Cocidos y Fiambres
DIA chopped pork en lonchas sobre 250 gr|DIA|Charcutería, Cocidos y Fiambres
DIA chopped pork pieza envase 900 gr|DIA|Charcutería, Cocidos y Fiambres
DIA fiambre de pechuga de pavo en finas lonchas sobre 300 gr|DIA|Charcutería, Cocidos y Fiambres
DIA fiambre de pechuga de pavo pieza 400 gr|DIA|Charcutería, Cocidos y Fiambres
DIA mortadela en lonchas sobre 250 gr|DIA|Charcutería, Cocidos y Fiambres
DIA mortadela maxi pieza 900 gr|DIA|Charcutería, Cocidos y Fiambres
DIA pechuga de pavo en lonchas sobre 200 gr|DIA|Charcutería, Cocidos y Fiambres
DIA pechuga de pavo finas lonchas sobre 2 x 100 gr|DIA|Charcutería, Cocidos y Fiambres
ELPOZO Bienstar pechuga de pollo 0% M.G. pieza 340 gr|ELPOZO|Charcutería, Cocidos y Fiambres
ELPOZO chopped lata en lonchas sobre 225 gr|ELPOZO|Charcutería, Cocidos y Fiambres
ELPOZO longaniza imperial con pavo pieza 240 gr|ELPOZO|Charcutería, Cocidos y Fiambres
