Producto|Brand|Categories
BOADAS longaniza de payes 80 gr|BOADAS|Charcutería, Embutidos
Butifarra blanca aperitivo|(Sin marca)|Charcutería, Embutidos
Butifarra catalana De Nuestra Tierra 250 g.|De Nuestra Tierra|Charcutería, Embutidos
Butifarra negra de matanza Peña Cruz 400 g|Peña Cruz|Charcutería, Embutidos
Cabecero de lomo 50 % raza ibérica 100 g|(Sin marca)|Charcutería, Embutidos
Cabecero de lomo Hacendado|Hacendado|Charcutería, Embutidos
CAMPOFRÍO mini stick de chorizo envase 50 gr|CAMPOFRÍO|Charcutería, Embutidos
Caprichos de fuet original curado Casademont sin gluten 50 g|Casademont|Charcutería, Embutidos
Caña de lomo cebo ibérico La Hacienda del ibérico|La Hacienda del ibérico|Charcutería, Embutidos
Caña de lomo curada raza Duroc La Hoguera pieza 800 g aprox|La Hoguera|Charcutería, Embutidos
Cecina de León moldeada La Encina 250 g aprox|La Encina|Charcutería, Embutidos
Cecina loncheada De Nuestra Tierra 150 g.|De Nuestra Tierra|Charcutería, Embutidos
Chistorra Carrefour sin gluten 220 g.|Carrefour|Charcutería, Embutidos
Chistorra de Navarra Floristán 200 g.|Floristán|Charcutería, Embutidos
Chorizo Almeriense picante Peña Cruz ristra 400 g aprox|Peña Cruz|Charcutería, Embutidos
Chorizo asturiano|(Sin marca)|Charcutería, Embutidos
Chorizo bellota ibérico Sánchez Montero 300 g aprox|Sánchez Montero|Charcutería, Embutidos
Chorizo casero extra sarta Palacios 250 g.|Palacios|Charcutería, Embutidos
Chorizo de bellota ibérico cortado a máquina|(Sin marca)|Charcutería, Embutidos
Chorizo de bellota ibérico cular Covap|Covap|Charcutería, Embutidos
Chorizo de cerdo oreado bandeja 380 gr|(Sin marca)|Charcutería, Embutidos
Chorizo de primera especial cocina Palacios 225 g.|Palacios|Charcutería, Embutidos
Chorizo de pueblo dulce extra sarta Revilla 250 g.|Revilla|Charcutería, Embutidos
Chorizo dulce sin gluten 200 g.|(Sin marca)|Charcutería, Embutidos
Chorizo extra Boadas 1880 90 g.|Boadas 1880|Charcutería, Embutidos
Chorizo extra Carrefour 2 x 120 g|Carrefour|Charcutería, Embutidos
Chorizo extra ecológico en lonchas sin gluten 80 g|(Sin marca)|Charcutería, Embutidos
Chorizo extra Hacendado lonchas|Hacendado|Charcutería, Embutidos
Chorizo extra Hacendado sticks para picar|Hacendado|Charcutería, Embutidos
Chorizo extra loncheado Carrefour Calidad y Origen sobre 100 g|Carrefour|Charcutería, Embutidos
Chorizo extra pamplona loncheado Revilla envase 100 g|Revilla|Charcutería, Embutidos
Chorizo extra picante loncheado Revilla envase 100 g|Revilla|Charcutería, Embutidos
Chorizo gallego malla 500 gr|(Sin marca)|Charcutería, Embutidos
Chorizo ibérico de cebo Carrefour Calidad y Origen 1/3 pieza 500 g aprox|Carrefour|Charcutería, Embutidos
Chorizo ibérico extra Carrefour sin gluten pack de 2 unidades de 125g|Carrefour|Charcutería, Embutidos
Chorizo Ibérico extra en lonchas Carrefour sin gluten 100 g.|Carrefour|Charcutería, Embutidos
Chorizo ibérico ristra Embutidos Nejosa pieza 700 g aprox|Embutidos Nejosa|Charcutería, Embutidos
Chorizo picante extra sarta Palacios 250 g.|Palacios|Charcutería, Embutidos
Chorizo pincho (peso aprox. 460 gr)|(Sin marca)|Charcutería, Embutidos
Chorizo sarta curado picante Carrefour 280 g|Carrefour|Charcutería, Embutidos
Chorizo sarta duroc dulce Carrefour 280 g|Carrefour|Charcutería, Embutidos
Chorizo sarta ibérico dulce 50 % raza ibérica 250 g|(Sin marca)|Charcutería, Embutidos
Chorizo sarta ibérico La Hacienda del ibérico|La Hacienda del ibérico|Charcutería, Embutidos
Compango asturiano|(Sin marca)|Charcutería, Embutidos
DIA cabecero de lomo lonchas envase 2 x 60 gr|DIA|Charcutería, Embutidos
DIA chistorra pieza 220 gr|DIA|Charcutería, Embutidos
DIA chorizo extra lonchas sobre 225 gr|DIA|Charcutería, Embutidos
DIA chorizo sarta extra picante envase 280 gr|DIA|Charcutería, Embutidos
DIA espetec extra pieza 175 gr|DIA|Charcutería, Embutidos
DIA salchichas súper envase 350 gr|DIA|Charcutería, Embutidos
DIA salchichas viena clásica envase 3 x 200 gr|DIA|Charcutería, Embutidos
DIA salchichas viena con queso envase 3 x 200 gr|DIA|Charcutería, Embutidos
DIA salchichón extra lonchas sobre 225 gr|DIA|Charcutería, Embutidos
ELPOZO salchichas frankfurt envase 160 gr|ELPOZO|Charcutería, Embutidos
ELPOZO salchichón extra en lonchas sobre 85 gr|ELPOZO|Charcutería, Embutidos
ELPOZO sobrasada tarrina 250 gr|ELPOZO|Charcutería, Embutidos
Embutido surtido oreado|(Sin marca)|Charcutería, Embutidos
Espetec Casa Tarradellas pack de 2 unidades de 180 g.|Casa Tarradellas|Charcutería, Embutidos
Espetec extra Casa Tarradellas 185 g.|Casa Tarradellas|Charcutería, Embutidos
EZEQUIEL chorizo extra dulce envase 425 gr|EZEQUIEL|Charcutería, Embutidos
EZEQUIEL chorizo extra picante pieza 425 gr|EZEQUIEL|Charcutería, Embutidos
FLORENCIO GOMEZ lomo de cebo ibérico en lonchas sobre (peso aprox. 200 gr)|FLORENCIO GOMEZ|Charcutería, Embutidos
FLORENCIO GOMEZ salchichón ibérico de bellota en lonchas sobre (peso aprox. 200 gr)|FLORENCIO GOMEZ|Charcutería, Embutidos
Fuet casero El Pozo pack de 2 unidades de 150 g.|El Pozo|Charcutería, Embutidos
Fuet ecológico loncheado Embutidos Salgot 80 g|Salgot|Charcutería, Embutidos
Fuet espetec curado 25% reducido en sal Casademont 170 g|Casademont|Charcutería, Embutidos
Fuet extra  Carrefour sin gluten 150 g.|Carrefour|Charcutería, Embutidos
Fuet extra Carrefour Classic' sin gluten sin lactosa 150 g.|Carrefour Classic'|Charcutería, Embutidos
Fuet extra Sabores de la Garrotxa pieza Embutidos Noel 175 g|Embutidos Noel|Charcutería, Embutidos
