Producto|Brand|Categories
AOSTE mousse de foie de pato medallón (peso aprox. 150 gr)|AOSTE|Charcutería, Patés y Foies
Bloc foie gras de pato Hacendado|Hacendado|Charcutería, Patés y Foies
Bloc foie gras de pato Martiko|Martiko|Charcutería, Patés y Foies
Bloque de hígado de pato blister Martiko 130 g.|Martiko|Charcutería, Patés y Foies
Bloque de hígado de pato Martiko pack de 2 unidades de 40 g.|Martiko|Charcutería, Patés y Foies
DIA DELICIOUS foie gras entero de pato tarro 125 gr|DIA DELICIOUS|Charcutería, Patés, Patés y Foies
DIA paté a la pimienta tarro 125 gr|DIA|Charcutería, Patés y Foies
Foei gras de pato fresco en medallones Carrefour Selección 100 g|Carrefour Selección|Charcutería, Patés y Foies
Foie gras entero de pato Hacendado|Hacendado|Charcutería, Patés y Foies
Foie Gras entero de pato mi-cuit Carrefour Selección 125 g.|Carrefour Selección|Charcutería, Patés y Foies
IBERITOS paté ibérico pack 3 x 25 gr|IBERITOS|Charcutería, Patés, Patés y Foies
LA PIARA paté de atún en escabeche lata 75 gr|LA PIARA|Charcutería, Patés y Foies
LA PIARA paté tapa negra lata 225 gr|LA PIARA|Charcutería, Patés y Foies
Mousse de foie de pato Capdevila 100 g|Capdevila|Charcutería, Patés y Foies
Mousse pato medallón Aoste pack de 2 unidades de 100 g|Aoste|Charcutería, Patés, Patés y Foies
Paté a la pimienta Carrefour sin gluten 90 g.|Carrefour|Charcutería, Patés y Foies
Paté a las finas hierbas Carrefour sin gluten y sin lactosa 160 g.|Carrefour|Charcutería, Patés y Foies
Paté de atún claro con aceitunas Calvo 165 g.|Calvo|Charcutería, Patés y Foies
Paté de atún en aceite La Piara pack de 2 unidades de 75 g.|La Piara|Charcutería, Patés y Foies
Paté de campaña ecológico Eth Paté de Mía sin gluten y sin lactosa 100 g.|Eth Paté de Mía|Charcutería, Patés y Foies
Paté de cerdo al oporto sin gluten Carrefour 90 g|Carrefour|Charcutería, Patés y Foies
Paté de cerdo al queso azul Hacendado|Hacendado|Charcutería, Patés y Foies
Paté de cerdo con finas hierbas Hacendado|Hacendado|Charcutería, Patés y Foies
Paté de cerdo con pimienta Hacendado|Hacendado|Charcutería, Patés y Foies
Paté de cerdo de campaña Carrefour sin gluten 90 g.|Carrefour|Charcutería, Patés y Foies
Paté de cerdo ibérico Peña Negra|Peña Negra|Charcutería, Patés y Foies
Paté de cerdo light Argal|Argal|Charcutería, Patés y Foies
Paté de cerdo sabor suave Argal|Argal|Charcutería, Patés, Patés y Foies
Paté de hígado de cerdo Tapa Negra La Piara pack de 3 unidades de 75 g.|La Piara|Charcutería, Patés y Foies
Paté de morcilla Hacendado|Hacendado|Charcutería, Patés y Foies
Paté de olivada Carrefour sin gluten y sin lactosa 120 g.|Carrefour|Charcutería, Patés y Foies
Paté finas hierbas + pimienta Casa Tarradellas pack de 2 unidades de 125 g.|Casa Tarradellas|Charcutería, Patés y Foies
Paté ibérico Carrefour 125 g.|Carrefour|Charcutería, Patés y Foies
