Producto|Brand|Categories
Barrita de chocolate con corazón de leche Kinder sin gluten 24 ud.|Kinder|Chocolates
Barrita de chocolate con corazón de leche maxi Kinder sin gluten 10 ud.|Kinder|Chocolates
Barrita de chocolate con galleta y caramelo 5 ud.|(Sin marca)|Chocolates
Barrita de chocolate con leche relleno de crema de avellanas Kinder Bueno pack de 6 unidades de 43 g.|Kinder Bueno|Chocolates
Barritas de chocolate, miel y almendras Mix Box Toblerone 904 g.|Toblerone|Chocolates
Bolitas de galleta cubierta de chocolate con leche Maltesers 175 g.|Maltesers|Chocolates
Bolitas de galleta cubierta de chocolate con leche Maltesers 300 g.|Maltesers|Chocolates
Bombones cereza al licor La Boutique del Praliné con chocolate negro extrafino|La Boutique del Praliné|Chocolates
Bombones de chocolate con leche con relleno cremoso Lindt Lindor 337 g.|Lindt|Chocolates
Bombones de chocolate con leche Lindt Lindor 200 g.|Lindt|Chocolates
Bombones de chocolate con leche Lindt Lindor 75 g.|Lindt|Chocolates
Bombones de chocolate con leche rellenos de crema de cacahuete Arcor 18 unidades de 17 g.|Arcor|Chocolates
Bombones de chocolate con leche rellenos de praliné de almendra y barquillo Valor 250 g.|Valor|Chocolates
Bombones de chocolate con leche y avellana Ferrero Rocher  30 ud.|Ferrer Rocher|Chocolates
Bombones de chocolate con leche y avellanas Nestlé L'aterier 161 g.|Nestlé L'aterier|Chocolates
Bombones de chocolate con leche y surtidos Lindt Lindor pack de 2 unidades de 200 g.|Lindt|Chocolates
Bombones de chocolate negro con avellana, almendra y cacao Carrefour 180 g.|Carrefour|Chocolates
Bombones de chocolate negro Lindt Champs Élysées 470 g.|Lindt|Chocolates
Bombones de coco y almendra Ferrero Raffaello 15 ud.|Ferrero Raffaello|Chocolates
Bombones surtidos de chocolate con relleno cremoso Lindt Lindor 600 g.|Lindt|Chocolates
Bombones Toffiffe 125 g.|Toffiffe|Chocolates
Bombón chocolate Crunch Collection Petits Merci 125 g.|Petits Merci|Chocolates
Cacahuete cubierto de chocolate blanco Conguitos sin gluten 75 g.|Conguitos|Chocolates
Cacahuete suizo cubierto de chocolate Lacasa 500 g.|Lacasa|Chocolates
Chocolate blanco fondant 100 g.|(Sin marca)|Chocolates
Chocolate blanco Hacendado fussion galletas al cacao|Hacendado|Chocolates
Chocolate blanco Nestlé Milkybar 100 g.|Nestlé Milkybar|Chocolates
Chocolate con leche Bites Cadbury con relleno sabor vainilla y trozos de galleta|Cadbury|Chocolates
Chocolate con leche Crunchie Rocks Cadbury con copos de maíz y trozos de caramelo|Cadbury|Chocolates
Chocolate con leche extrafino Carrefour 150 g.|Carrefour|Chocolates
Chocolate con leche extrafino Nestlé pack de 3 tabletas de 125 g.|Nestlé|Chocolates
Chocolate con leche extrafino Nestlé pack de 6 tabletas de 125 g.|Nestlé|Chocolates
Chocolate con leche extrafino Nestlé sin gluten pack de 5 tabletas de 125 g.|Nestlé|Chocolates
Chocolate con leche Hacendado porciones|Hacendado|Chocolates
Chocolate con leche Lindt|Lindt|Chocolates
Chocolate con leche Lindt 125 g.|Lindt|Chocolates
Chocolate con leche Max Milka 300 g.|Milka|Chocolates
Chocolate con leche Milka 125 g.|Milka|Chocolates
Chocolate con leche Milka pack de 4 tabletas de 100 g.|Milka|Chocolates
Chocolate con leche Nestlé Dolca sin gluten 100 g.|Nestlé Dolca|Chocolates
Chocolate con leche relleno de oreo Milka 100 g.|Milka|Chocolates
Chocolate con leche Valor almendras enteras|Valor|Chocolates
Chocolate con leche y almendras enteras Valor sin gluten 300 g.|Valor|Chocolates
Chocolate con leche y chips ahoy Milka 100 g.|Milka|Chocolates
Chocolate extrafino negro Hacendado|Hacendado|Chocolates
Chocolate extrafino negro Hacendado con pepitas de cacao tostadas|Hacendado|Chocolates
Chocolate extrafino negro Hacendado con trozos de naranja|Hacendado|Chocolates
Chocolate negro 70% con almendras enteras Valor sin gluten 250 g.|Valor|Chocolates
Chocolate negro 70% con almendras enteras y stevia sin azúcar añadido Valor sin gluten 150 g.|Valor|Chocolates
Chocolate negro 70% especial postres Valor sin gluten 200 g.|Valor|Chocolates
Chocolate negro 70% sin azúcar añadido Valor sin gluten 180 g.|Valor|Chocolates
Chocolate negro 72% con pepitas de cacao tostadas caramelizadas Carrefour 100 g.|Carrefour|Chocolates
Chocolate negro 74% ecológico Carrefour Bio 100 g.|Carrefour Bio|Chocolates
Chocolate negro 80% Carrefour Selección 100 g.|Carrefour Selección|Chocolates
Chocolate negro 82% Valor sin gluten 170 g.|Valor|Chocolates
Chocolate negro 85% con stevia sin azúcar añadido Valor sin gluten 100 g.|Valor|Chocolates
Chocolate negro 85% ecológico Ethiquable 100 g.|Ethiquable|Chocolates
Chocolate negro 88% cacao del Perú ecológico Ethiquable 100 g,|Ethiquable|Chocolates
Chocolate negro 90% Carrefour Selección 80 g.|Carrefour Selección|Chocolates
Chocolate negro 98% ecológico Ethiquable 100 g.|Ethiquable|Chocolates, Salud
Chocolate negro con almendras caramelizadas ecológico Carrefour Bio 100 g.|Carrefour Bio|Chocolates
Chocolate negro con almendras enteras Carrefour 200 g.|Carrefour|Chocolates
Chocolate negro con almendras Nestlé sin azúcar añadido 125 g.|Nestlé|Chocolates
Chocolate negro con frambuesa Pancracio 100 g.|Pancracio|Chocolates
Chocolate negro con frutas del bosque y stevia sin azúcar añadido Torras sin gluten 125 g.|Torras|Chocolates
Chocolate negro con naranja ecológico Carrefour Bio 100 g.|Carrefour Bio|Chocolates
Chocolate negro Hacendado fundir 0% azúcares añadidos|Hacendado|Chocolates
Chocolate negro intenso 70% sin azúcar añadido Nestlé 125 g.|Nestlé|Chocolates
Chocolate negro Nestlé Dolca sin gluten 100 g.|Nestlé Dolca|Chocolates
Chocolate negro para repostería Nestlé Postres sin gluten 250 g.|Nestlé Postres|Chocolates
Chocolate negro relleno de menta Carrefour 100 g.|Carrefour|Chocolates
Chocolate negro Valor puro|Valor|Chocolates
Chocolate para hacer a la taza Valor|Valor|Chocolates
Chocolate para postres 70% cacao Lacasa 200 g.|Lacasa|Chocolates
Chocolate puro con almendras mediterráneas enteras XL con stevia sin azúcar añadido Valor sin gluten 180 g.|Valor|Chocolates
Chocolate puro especial postres Carrefour 200 g.|Carrefour|Chocolates
Chocolate puro sin azúcares añadidos Valor 100 g.|Valor|Chocolates
Chocolate suizo con leche, pasas y avellanas Lindt 300 g.|Lindt|Chocolates
Chocolatinas chocolate extrafino negro Hacendado|Hacendado|Chocolates
Chocolatitos nevados E. Moreno 250 g.|E. Moreno|Chocolates
DIA cacahuetes recubiertos de chocolate bolsa 250 gr|DIA|Chocolates
DIA chocolate blanco tableta 2 x 100 gr|DIA|Chocolates
DIA chocolate con leche y almendras partidas tableta 150 gr|DIA|Chocolates
DIA chocolate con leche y avellanas partidas tableta 150 gr|DIA|Chocolates
DIA chocolate fondant tableta 100 gr|DIA|Chocolates
DIA chocolate negro 55% con almendras tableta 200 gr|DIA|Chocolates, Frutos secos
DIA chocolate negro para postres tableta 200 gr|DIA|Chocolates
DIA DELICIOUS chocolate negro 85% tableta 100 gr|DIA DELICIOUS|Chocolates
DIA grageas de chocolate bolsa 250 gr|DIA|Chocolates
DIA VITAL chocolate con leche sin lactosa tableta 100 gr|DIA VITAL|Chocolates, Dieta y nutrición
FERRERO ROCHER bombones caja 300 gr|FERRERO ROCHER|Chocolates
FERRERO ROCHER bombones caja 375 gr|FERRERO ROCHER|Chocolates
Gotas de chocolate para fundir Hacendado|Hacendado|Chocolates
Grageas de chocolate Lacasitos Lacasa 325 g.|Lacasitos|Chocolates
HUESITOS barrita chocolate pack 10 uds|HUESITOS|Chocolates
Huevo de chocolate con sorpresa Jurassic World Kinder 3 ud.|Kinder|Chocolates
Huevo de chocolate Princesas Kinder Sorpresan sin gluten 3 ud.|Kinder|Chocolates
KINDER barrita chocolate 4 uds caja 50 gr|KINDER|Chocolates
KINDER Bueno chocolate 43 gr|KINDER Bueno|Chocolates
KINDER Bueno mini chocolate bolsa 108 gr|KINDER|Chocolates
KINDER Bueno white chocolate blanco pack 3 unidades|KINDER|Chocolates
KINDER figura de chocolate 75 gr|KINDER|Chocolates
KINDER Joy huevo sorpresa chocolate 21 gr|KINDER|Chocolates
KINDER Joy huevo sorpresa chocolate 3X60 GR|KINDER|Chocolates
KIT KAT chocolatina chocolate blanco 41,5 gr|KIT KAT|Chocolates
KIT KAT chocolatina chocolate negro 70% pack 3 unidades 41,5 gr|KIT KAT|Chocolates
KIT KAT chocolatina gold pack 3 unidades de 41,5 gr|KIT KAT|Chocolates
KIT KAT chocolatina santa paquete 29 gr|KIT KAT|Chocolates
KNOPPERS chocolatina p5 125 gr|KNOPPERS|Chocolates
LACASA conguitos chocolate con leche y cacahuetes bolsa 220 gr|LACASA|Chocolates
LINDT Excellence chocolate 90% cocoa tableta 100 gr|LINDT Excellence|Chocolates
LINDT Excellence chocolate negro 99% cacao tableta 50 gr|LINDT Excellence|Chocolates
LINDT Lindor bombón chocolate con leche unidad (peso aprox 15 gr)|LINDT|Chocolates
LINDT Sensation chocolate negro con frambuesa y arándano rojo bolsa 150 gr|LINDT|Chocolates
M&M's cacahuete bolsa 200 gr|M&M's|Chocolates
MARS surtido chocolatinas celebrations caja 186 gr|MARS|Chocolates
MILKA chocolate con leche tableta 125 gr|MILKA|Chocolates
MILKA chocolate con leche tableta 270 gr|MILKA|Chocolates
MILKYBAR chocolate blanco con galleta tableta 100 gr|MILKYBAR|Chocolates
Mini barrita de chocolate con cacahuete y caramelo Snickers 170 g.|Snickers|Chocolates
Mini barrita de chocolate y galleta con caramelo Mars 130 g.|Mars|Chocolates
Mini huevos de chocolate con leche Schoko-Bons rellenos de leche y avellanas|Schoko-Bons|Chocolates
Mini huevos de chocolate rellenos de leche y avellanas Kinder Schokobons 225 g.|Kinder Schokobons|Chocolates
Mini huevos de chocolate rellenos de leche y avellanas Kinder Schokobons sin gluten 225 g.|Kinder Schokobons|Chocolates, Infantil
Monedas de chocolate con leche|(Sin marca)|Chocolates
NESQUIK chocolate con leche tableta 100 gr|NESQUIK|Chocolates
NESTLE Caja roja bombones bolsa 100 gr|NESTLE|Chocolates
NESTLE Caja roja bombones caja 200 gr|NESTLE|Chocolates
NESTLE Caja roja bombones caja 27 gr|NESTLE|Chocolates
NESTLE Caja roja bombones caja 400 gr|NESTLE|Chocolates
NESTLE chocolate blanco postres tableta 180 gr|NESTLE|Chocolates, Repostería
NESTLE chocolate con almendras tableta 123 gr|NESTLE|Chocolates
NESTLE chocolate negro postres tableta 250 gr|NESTLE|Chocolates
Pepitas de chocolate negro ecológicas Vahiné 100 g.|Vahiné|Chocolates
Perlas de chocolate negro Hacendado rellenas de preparado de frutas|Hacendado|Chocolates
Surtido bombones Caja Roja Nestlé|Nestlé|Chocolates
Surtido bombones de chocolate negro 70% Senzza|Senzza|Chocolates
Surtido bombones Senzza 0% azúcares añadidos|Senzza|Chocolates
TOBLERONE chocolate con leche pack 3 unidades 50 gr|TOBLERONE|Chocolates
Trufas de chocolate Carrefour 250 g.|Carrefour|Chocolates
Turrón de chocolate con Oreo Suchard 260 g.|Suchard|Chocolates, Navideños
VALOR chocolate a la taza tableta 300 g|VALOR|Chocolates
VALOR chocolate negro 70% con pepitas de chocolate tableta 170 gr|VALOR|Chocolates
VALOR chocolate negro 70% mousse de naranja tableta 150 gr|VALOR|Chocolates
