Producto|Brand|Categories
ALBO atún claro en aceite de oliva pack 3 latas de 48 gr|ALBO|Conservas de pescado
ALBO calamares en su tinta lata 72 gr|ALBO|Conservas de pescado
Anchoas del cantábrico Consorcio en aceite de oliva|Consorcio|Conservas de pescado
Anchoas en aceite de oliva Carrefour 50 g.|Carrefour|Conservas de pescado
Anchoas en aceite de oliva Carrefour pack de 3 unidades de 50 g.|Carrefour|Conservas de pescado
Anchoas en aceite de oliva virgen extra Ortiz 67 g.|Ortiz|Conservas de pescado
Atún claro al natural Calvo pack de 3 unidades de 112 g.|Calvo|Conservas de pescado
Atún claro al natural Calvo pack de 6 unidades de 56 g.|Calvo|Conservas de pescado
Atún claro al natural Carrefour pack de 3 latas de 104 g.|Carrefour|Conservas de pescado
Atún claro bajo en sal Hacendado en aceite de oliva|Hacendado|Conservas de pescado
Atún claro en aceite de girasol Carrefour pack de 8 latas de 52 g.|Carrefour|Conservas de pescado
Atún claro en aceite de girasol Hacendado|Hacendado|Conservas de pescado
Atún claro en aceite de oliva Calvo pack de 6 latas de 52 g.|Calvo|Conservas de pescado
Atún claro en aceite de oliva Carrefour 130 g.|Carrefour|Conservas de pescado
Atún claro en aceite de oliva Carrefour 73 g.|Carrefour|Conservas de pescado
Atún claro en aceite de oliva Carrefour pack de 3 latas de 52 g.|Carrefour|Conservas de pescado
Atún claro en aceite de oliva Carrefour pack de 8 latas de 52 g.|Carrefour|Conservas de pescado
Atún claro en aceite de oliva Cuca 82 g.|Cuca|Conservas de pescado
Atún claro en aceite de oliva Hacendado|Hacendado|Conservas de pescado
Atún claro en aceite de oliva Isabel sin lactosa pack de 6 latas de 52 g.|Isabel|Conservas de pescado
Atún claro en aceite oliva Calvo 219 g.|Calvo|Conservas de pescado
Atún claro en escabeche blanco Hacendado|Hacendado|Conservas de pescado
Atún claro en escabeche Carrefour pack de 6 latas de 52 g.|Carrefour|Conservas de pescado
Atún en aceite de girasol 650 g.|(Sin marca)|Conservas de pescado
Atún en aceite de girasol Albo lata de 650 g.|Albo|Conservas de pescado
Atún en aceite de girasol Hacendado|Hacendado|Conservas de pescado
Atún en aceite de girasol pack de 6 latas de 52 g.|(Sin marca)|Conservas de pescado
Atún en aceite de oliva 650 g.|(Sin marca)|Conservas de pescado
Atún en aceite de oliva Cuca sin gluten y sin lactosa 150 g.|Cuca|Conservas de pescado
Atún en aceite de oliva pack de 6 latas de 52 g.|(Sin marca)|Conservas de pescado
Atún en salsa de tomate Carrefour pack de 3 latas de 52 g.|Carrefour|Conservas de pescado
Berberecho al natural XS Hacendado|Hacendado|Conservas de pescado
Berberechos al natural 60/90 Carrefour 111 g.|Carrefour|Conservas de pescado
Berberechos al natural Carrefour 58 g.|Carrefour|Conservas de pescado
Berberechos al natural Carrefour 90 g.|Berberechos al natural|Conservas de pescado
Berberechos all natural Cabo de Peñas 63 g.|Cabo de Peñas|Conservas de pescado
Bonito del norte en aceite de oliva Albo|Albo|Conservas de pescado
Bonito del norte en aceite de oliva Hacendado|Hacendado|Conservas de pescado
Bonito del norte en escabeche Hacendado|Hacendado|Conservas de pescado
BOYA chicharrillos en aceite vegetal lata 83 gr|BOYA|Conservas de pescado
BOYA chicharrillos en escabeche lata 83 gr|BOYA|Conservas de pescado
BOYA filetes de caballa del sur en salsa de tomate lata 58 gr|BOYA|Conservas de pescado
BOYA sardinas en aceite vegetal lata 63 gr|BOYA|Conservas de pescado
BOYA sardinas en salsa de tomate 6/8 piezas lata 63 gr|BOYA|Conservas de pescado
BOYA sardinas picantes en aceite vegetal 6/8 piezas lata 63 gr|BOYA|Conservas de pescado
Caballa a la andaluza Belomonte 240 g|Belomonte|Conservas de pescado
Calamares en salsa americana Calvo pack de 3 unidades de 48 g.|Calvo|Conservas de pescado
CALVO atún claro en aceite de girasol pack 3 latas de 52 gr|CALVO|Conservas de pescado
CALVO atún claro en aceite de oliva bajo en sal pack 3 latas de 52 gr|CALVO|Conservas de pescado
CALVO mejillones en escabeche 14/19 piezas lata 69  grs|CALVO|Conservas de pescado
CALVO sardinillas en aceite de oliva baja en sal lata 60 g|CALVO|Conservas de pescado
CAMPOS filetes de atún sin piel caja 225 gr|CAMPOS|Conservas de pescado
CAPRIMAR anchoas en aceite de girasol frasco 55 gr|CAPRIMAR|Conservas de pescado
Carne de cangrejo al natural Chatka|Chatka|Conservas de pescado
Carne de cangrejo natural desmigada Romanov 60 g.|Romanov|Conservas de pescado
Caviar huevas de lumpo Casa Westfalia 100 g.|Casa Westfalia|Conservas de pescado
Chicharrillos en aceite de girasol Hacendado|Hacendado|Conservas de pescado
Chipirones en su tinta Ramón Peña 80 g.|Ramón Peña|Conservas de pescado
Chipirones rellenos en aceite de girasol Cabo de Peñas 70 g.|Cabo de Peñas|Conservas de pescado
CONSORCIO filetes de anchoa en aceite de oliva lata 29 gr|CONSORCIO|Conservas de pescado
DANI berberechos al natural lata 90 gr|DANI|Conservas de pescado
DIA atún claro al natural pack 6 latas de 56 gr|DIA|Conservas de pescado
DIA atún claro en aceite de girasol  pack 6 latas de 52 gr|DIA|Conservas de pescado
DIA atún claro en aceite de oliva pack 6 latas de 52 gr|DIA|Conservas de pescado
DIA chipirones rellenos en salsa americana lata 72 gr|DIA|Conservas de pescado
DIA chipirones rellenos en su tinta lata 72 gr|DIA|Conservas de pescado
DIA DELICIOUS filetes de anchoa en aceite de oliva lata 55 gr|DIA DELICIOUS|Conservas de pescado
DIA MARI MARINERA atún claro en aceite de girasol lata 143 gr|DIA MARI MARINERA|Conservas de pescado
DIA MARI MARINERA atún claro en escabeche pack 6 latas de 60 gr|DIA MARI MARINERA|Conservas de pescado
DIA MARI MARINERA atún en tomate pack 3 latas de 52 gr|DIA MARI MARINERA|Conservas de pescado
DIA mejillones en escabeche 8/12 piezas lata 69 gr|DIA|Conservas de pescado
DIA mejillones en escabeche pack de 3 latas 43 gr|DIA|Conservas de pescado
DIA navajuelas al natural lata 63 gr|DIA|Conservas de pescado
DIA potón en su tinta pack 3 latas 55 gr|DIA|Conservas de pescado
DIA sardinas en aceite de oliva lata 80 gr|DIA|Conservas de pescado
DIA sardinillas en aceite de girasol al limón 6/10 piezas lata 62 gr|DIA|Conservas de pescado
DIA sardinillas en aceite de oliva lata 62 gr|DIA|Conservas de pescado
Filetes de anchoa del Cantábrico en aceite de oliva De Nuestra Tierra 90 g.|De Nuestra Tierra|Conservas de pescado
Filetes de anchoa del Cantábrico en aceite de oliva Gourmet Lorea 30 g.|Gourmet Lorea|Conservas de pescado
Filetes de anchoa del Cantábrico en aceite de oliva virgen extra ecológico Cuca sin gluten y sin lactosa 29 g.|Cuca|Conservas de pescado, Salud
Filetes de anchoas en aceite de girasol 26 g.|(Sin marca)|Conservas de pescado
Filetes de anchoas en aceite de girasol Noly 45 g.|Noly|Conservas de pescado
Filetes de anchoas en aceite de oliva Consorcio 252 g.|Consorcio|Conservas de pescado
Filetes de atún claro en aceite de oliva Calvo 163 g.|Calvo|Conservas de pescado
Filetes de bonito del norte en aceite de oliva Hacendado|Hacendado|Conservas de pescado
Filetes de caballa de Andalucía en aceite de girasol Tejero 80 g.|Tejero|Conservas de pescado
Filetes de caballa del sur en aceite de oliva Carrefour pack de 2 latas de 65 g.|Carrefour|Conservas de pescado
Filetes de melva canutera con pimientos del piquillo Marinara en aceite de oliva|Marinara|Conservas de pescado
FINISTER filetes de anchoa en aceite de girasol pack 3 latas de 29 gr|FINISTER|Conservas de pescado
ISABEL atún claro en aceite de oliva pack 6 latas de 52 gr|ISABEL|Conservas de pescado
ISABEL atún en aceite vegetal lata 260 gr|ISABEL|Conservas de pescado
ISABEL atún en aceite vegetal pack 3 latas de 52 gr|ISABEL|Conservas de pescado
ISABEL mejillon en escabeche  pack 3 latas x 43 grs|ISABEL|Conservas de pescado
ISABEL mejillones en escabeche 8/12 piezas lata 69 grs|ISABEL|Conservas de pescado
ISABEL mejillones en salsa vieira 13/18 piezas lata 69 grs|ISABEL|Conservas de pescado
LOREA Gourmet anchoa del Cantábrico envase 170 gr|LOREA|Conservas de pescado
MARI MARINERA atún claro en escabeche pack 6 latas de 60 gr|MARI MARINERA|Conservas de pescado
Mejillones al natural Hacendado pequeños|Hacendado|Conservas de pescado
Mejillones de las rías gallegas en escabeche Carrefour sin gluten 69 g.|Carrefour|Conservas de pescado
Mejillones en escabeche 115 g.|(Sin marca)|Conservas de pescado
Mejillones en escabeche 13/18 Isabel 69 g.|Isabel|Conservas de pescado
Mejillones en escabeche Cabo de Peñas 45 g.|Cabo de Peñas|Conservas de pescado
Mejillones en escabeche Cuca 69 g.|Cuca|Conservas de pescado
Mejillones en escabeche Hacendado pequeños|Hacendado|Conservas de pescado
Mejillones en escabeche Noly 69 g.|Noly|Conservas de pescado
Mejillones en escabeche sin gluten y sin lactosa pack de 3 unidades de 78 g.|(Sin marca)|Conservas de pescado
Mejillones en salsa de vieira Hacendado pequeños|Hacendado|Conservas de pescado
Mejillones picantes en escabeche Hacendado pequeños|Hacendado|Conservas de pescado
Navajas al natural Cabo de Peñas 60 g.|Cabo de Peñas|Conservas de pescado
Navajas al natural Du nord|Du nord|Conservas de pescado
Salmón al natural Hacendado|Hacendado|Conservas de pescado
Sardinas en aceite de girasol Hacendado|Hacendado|Conservas de pescado
Sardinas en aceite de oliva Albo 120 g.|Albo|Conservas de pescado
Sardinas en aceite vegetal Orbe 160 g.|Orbe|Conservas de pescado
Sardinas en tomate Ribeira sin gluten 85 g.|Ribeira|Conservas de pescado
Sardinas picantes Cuca 120 g.|Cuca|Conservas de pescado
Sardinillas al limón Hacendado en aceite de girasol|Hacendado|Conservas de pescado
Sardinillas en aceite de girasol picantes Cabo de Peñas 60 g.|Cabo de Peñas|Conservas de pescado
Sardinillas en aceite de oliva Albo 82 g.|Albo|Conservas de pescado
Sardinillas en aceite de oliva contenido reducido de sal Carrefour pack de 2 unidades de 65 g.|Carrefour|Conservas de pescado
Sardinillas en aceite vegetal Orbe 160 g.|Orbe|Conservas de pescado
Sardinillas picantonas Hacendado|Hacendado|Conservas de pescado
Sardinillas reducidas en sal Hacendado en aceite de oliva|Hacendado|Conservas de pescado
Tacos de potón en salsa americana Carrefour sin gluten y sin lactosa pack de 3 unidades de 51 g.|Carrefour|Conservas de pescado
Trozos de sepia en tinta Hacendado|Hacendado|Conservas de pescado
UBAGO filetes de caballa del sur en aceite de girasol lata 65 gr|UBAGO|Conservas de pescado
Ventresca de atún claro en aceite de oliva Calvo 75 g.|Calvo|Conservas de pescado
Ventresca de atún claro en aceite de oliva Carrefour 73 g.|Carrefour|Conservas de pescado
Ventresca de atún claro Hacendado en aceite de oliva|Hacendado|Conservas de pescado
Ventresca de bonito del Norte en aceite de oliva Carrefour 73 g.|Carrefour|Conservas de pescado
Ventresca de bonito del norte en aceite de oliva Espinaler 81 g.|Espinaler|Conservas de pescado
Zamburiñas en salsa marinera con tomate Carrefour sin gluten 65 g.|Carrefour|Conservas de pescado, Salud
Zamburiñas es salsa de vieira Javimar 70 g.|Javimar|Conservas de pescado
