Producto|Brand|Categories
Almendras rellenas de turrón Hacendado|Hacendado|Dulces y desayunos, Navideños
Cabello de ángel estilo casero Hida 520 g.|Hida|Dulces y desayunos
CAPITAN MANI crema de cacahuete bote 340 grs|CAPITAN MANI|Dulces y desayunos
Caramelo líquido Hacendado|Hacendado|Dulces y desayunos
Carbón dulce Hacendado|Hacendado|Dulces y desayunos
Carquinyolis Vicens 300 g.|Vicens|Dulces y desayunos
Castañas en almíbar Cuevas 240 g.|Cuevas|Dulces y desayunos
Cerezas en almíbar denso Hacendado|Hacendado|Dulces y desayunos
Confitura de arándano y frambuesa Diet Hero 280 g.|Diet Hero|Dulces y desayunos
Confitura de cereza Hero 345 g.|Hero|Dulces y desayunos, Mermeladas
Confitura de frambuesa categoría extra light Carrefour 300 g.|Carrefour|Dulces y desayunos, Mermeladas
Confitura de frambuesa Hero 345 g.|Hero|Dulces y desayunos
Confitura de fresa Hero 345 g.|Hero|Dulces y desayunos
Confitura de melocotón categoría extra light Carrefour 300 g.|Carrefour|Dulces y desayunos
Confitura de melocotón Hacendado|Hacendado|Dulces y desayunos
Confitura de naranja amarga Diet Hero 280 g.|Diet Hero|Dulces y desayunos, Mermeladas
Cono de barquillo Hacendado|Hacendado|Dulces y desayunos
Conos de barquillo de chocolate Carrefour pack de 8 unidades de 20 g.|Carrefour|Dulces y desayunos, Repostería
Crema al cacao y leche con avellanas Nocilla|Nocilla|Dulces y desayunos
Crema blanca de avellanas ecológica Nocciolata Rigoni di Asiago sin gluten 270 g.|Nocciolata Rigoni di Asiago|Dulces y desayunos
Crema de cacahuete crujiente alta en fibra y proteínas Prozis 500 g.|Prozis|Dulces y desayunos
Crema de cacahuete suave Capitán Maní 510 g.|Capitán Maní|Dulces y desayunos
Crema de cacahuete Whole Earth 227 g.|Whole Earth|Dulces y desayunos
Crema de cacao con avellanas Nocilla bocabajo 320 g.|Nocilla|Dulces y desayunos
Crema de cacao con avellanas Nutella sin gluten 200 g.|Nutella|Dulces y desayunos
Crema de cacao con avellanas Nutella sin gluten 450 g.|Nutella|Dulces y desayunos, Cremas de cacao
Crema de cacao con avellanas original sin azúcares añadidos Nocilla sin gluten y sin aceite de palma 180 g.|Nocilla|Dulces y desayunos
Crema de cacao con leche y avellanas Carrefour 750 g.|Carrefour|Dulces y desayunos
Crema de cacao y avellanas sin gluten Carrefour 750 g.|Carrefour|Dulces y desayunos
Crema de cacao y leche con avellanas Carrefour 400 g.|Carrefour|Dulces y desayunos
Crema de cacao y leche con avellanas Nocilla 780 g.|Nocilla|Dulces y desayunos
Crema de cacao y leche con avellanas Nocilla sin gluten 900 g.|Nocilla|Dulces y desayunos, Cremas de cacao
Crema de cacao y leche con avellanas Nocilla sin gluten y sin aceite de palma 380 g.|Nocilla|Dulces y desayunos
Crema de cacao y leche con avellanas sin azúcar añadido Nocilla sin gluten y sin aceite de palma 180 g.|Nocilla|Dulces y desayunos
