Producto|Brand|Categories
Acelga cortada Carrefour 300 g|Carrefour|Frutas y verduras, Congelados
Acelga hoja en porciones Hacendado ultracongelada|Hacendado|Frutas y verduras
Acelgas  manojo de 1 Kg|(Sin marca)|Frutas y verduras
Acelgas troceadas Hacendado|Hacendado|Frutas y verduras
AGROPIGEN tomate ensalada bio bandeja (1 Kg aprox.)|AGROPIGEN|Frutas y verduras
Aguacate 500 g|(Sin marca)|Frutas y verduras
Aguacate bandeja 3/4 piezas|(Sin marca)|Frutas y verduras
Aguacate hass Carrefour a granel 1 kg|Carrefour|Frutas y verduras
Aguacates|(Sin marca)|Frutas y verduras
Ajete tierno manojo 120 g|(Sin marca)|Frutas y verduras
Ajetes, Trigueros, Gambas Carrefour 450 g.|Carrefour|Frutas y verduras, Platos preparados
Ajo Carrefour 100 g.|Carrefour|Frutas y verduras
Ajo morado ecológico Cachopo 500 g|Cachopo|Frutas y verduras, Salud
Ajo morado malla 500 gr|(Sin marca)|Frutas y verduras
Ajo negro dientes pelados|(Sin marca)|Frutas y verduras
AL PUNTO brócoli y patatas bolsa 250 gr|AL PUNTO|Frutas y verduras
AL PUNTO Patatas asadas bandeja 250 gr|AL PUNTO|Frutas y verduras, Platos preparados
Albahaca 20 gr|(Sin marca)|Frutas y verduras
Albahaca cortada Carrefour 20 g|Carrefour|Frutas y verduras
Albahaca ecológico Carrefour Bio maceta 1 ud|Carrefour Bio|Frutas y verduras
Alcachofa baby Hacendado ultracongelada|Hacendado|Frutas y verduras
Alga wakame deshidratada ecológica Porto Muiños 25 g.|Porto Muiños|Frutas y verduras
AMALUR patatas paris FRASCO 425 GR|AMALUR|Frutas y verduras
Apio en tiras Hacendado|Hacendado|Frutas y verduras
Arandanos rojos deshidratados Carrefour tarrina 200 g|Carrefour|Frutas y verduras
Arándanos Carrefour 250 g|Carrefour|Frutas y verduras
Arándanos ecológicos 125 g|(Sin marca)|Frutas y verduras
Banana unidad (220 gr aprox.)|(Sin marca)|Frutas y verduras
Berenjena|(Sin marca)|Frutas y verduras
Berenjena Carrefour Malla 500 g|Carrefour|Frutas y verduras
Bimi|(Sin marca)|Frutas y verduras
Boletus deshidratado  bandeja 30 g|(Sin marca)|Frutas y verduras
BONDUELLE edamame pack 2 latas x 80 gr|BONDUELLE|Frutas y verduras
Boniato  bolsa 1 Kg aprox|(Sin marca)|Frutas y verduras
Boniato unidad (600 gr aprox.)|(Sin marca)|Frutas y verduras
Brotes de espinaca Carrefour 250 g|Carrefour|Frutas y verduras
Brotes germinados Hacendado|Hacendado|Frutas y verduras
Brócoli|(Sin marca)|Frutas y verduras
Brócoli Carrefour 500 g|Carrefour|Frutas y verduras
