Producto|Brand|Categories
Arandanos rojos deshidratados Carrefour tarrina 200 g|Carrefour|Frutas y verduras, Frutas
Arándanos Carrefour 250 g|Carrefour|Frutas y verduras, Frutas
Arándanos ecológicos 125 g|(Sin marca)|Frutas y verduras, Frutas
Banana unidad (220 gr aprox.)|(Sin marca)|Frutas y verduras, Frutas
Brotes de espinaca Carrefour 250 g|Carrefour|Frutas y verduras, Frutas
Ciruela con hueso Carrefour tarrina 350 g|Carrefour|Frutas y verduras, Frutas
Ciruela deshuesada Carrefour tarrina 350 g|Carrefour|Frutas y verduras, Frutas
Ciruela rosé Calidad y origen Carrefour 500 g aprox|Carrefour|Frutas y verduras, Frutas
Ciruelas con hueso Carrefour 200 g.|Carrefour|Frutas y verduras, Frutas
Ciruelas sin hueso Carrefour 200 g.|Carrefour|Frutas y verduras, Frutas
Corazón de escarola rizada Huerta de Peralta 1ud|Huerta de Peralta|Frutas y verduras, Frutas
Cóctel fruta tropical deshidratada Carrefour tarrina 200 g|Carrefour|Frutas y verduras, Frutas
DIA ciruelas sin hueso bolsa 200 gr|DIA|Frutas y verduras, Frutos secos, Frutas
DIA espinacas bolsa 300 gr|DIA|Frutas y verduras, Frutas
Espinaca maxi 450 g|(Sin marca)|Frutas y verduras, Frutas
Espinaca troceada Carrefour 300 g|Carrefour|Frutas y verduras, Frutas
Espinacas hojas en porciones Carrefour 1 kg.|Carrefour|Frutas y verduras, Frutas
Espinacas pasas y piñones Findus-Verdeliss 400 g.|Findus-Verdeliss|Frutas y verduras, Congelados, Frutas
FLORETTE espinacas bolsa 125 gr|FLORETTE|Frutas y verduras, Frutas
Fresas enteras Hacendado ultracongeladas|Hacendado|Frutas y verduras, Frutas
Kiwi selecta Zespri 500 g|Zespri|Frutas y verduras, Frutas
Kiwis amarillos|(Sin marca)|Frutas y verduras, Frutas
Limones|(Sin marca)|Frutas y verduras, Frutas
Limón|(Sin marca)|Frutas y verduras, Frutas
Limón Carrefour 750 g|Carrefour|Frutas y verduras, Frutas
Limón ecológico Carrefour Bio 500 g|Carrefour Bio|Frutas y verduras, Salud, Frutas
Limón unidad (210 gr aprox.)|(Sin marca)|Frutas y verduras, Frutas
Mandarina|(Sin marca)|Frutas y verduras, Frutas
Mandarina 1,5 kg|(Sin marca)|Frutas y verduras, Frutas
Mango Carrefour a granel 500 g aprox|Carrefour|Frutas y verduras, Frutas
Mango deshidratado Hacendado|Hacendado|Frutas y verduras, Frutas
Manzana fuji ecológica bandeja 4 ud 600 g|(Sin marca)|Frutas y verduras, Frutas
Manzana fuji unidad (220 gr aprox.)|(Sin marca)|Frutas y verduras, Frutas
Manzana golden Calidad y Origen Carrefour a granel 1 Kg aprox|Carrefour|Frutas y verduras, Frutas
Manzana Golden Carrefour 1,5 kg|Carrefour|Frutas y verduras, Frutas
Manzana granny smith|(Sin marca)|Frutas y verduras, Frutas
Manzana Kanzi unidad (210 gr aprox.)|(Sin marca)|Frutas y verduras, Frutas
Manzana reineta|(Sin marca)|Frutas y verduras, Frutas
Manzana reineta unidad (190 gr aprox.)|(Sin marca)|Frutas y verduras, Frutas
Manzana reineta verde a granel 1 Kg aprox|(Sin marca)|Frutas y verduras, Frutas
Manzana roja deshidratada Hacendado|Hacendado|Frutas y verduras, Frutas
Manzana roja ecológica bandeja 4 ud 600 g|(Sin marca)|Frutas y verduras, Frutas
Manzana roja unidad (220 gr aprox.)|(Sin marca)|Frutas y verduras, Frutas
Manzana royal gala bolsa 1,5 Kg|Carrefour|Frutas y verduras, Frutas
Manzana royal gala unidad (280 gr aprox.)|(Sin marca)|Frutas y verduras, Frutas
Melón piel de sapo|(Sin marca)|Frutas y verduras, Frutas
Naranja Calidad y Origen a granel 1 Kg aprox|(Sin marca)|Frutas y verduras, Frutas
Naranja ecológica Carrefour Bio 1 Kg|Carrefour Bio|Frutas y verduras, Frutas
Pera blanquilla Carrefour 1,5 kg|Carrefour|Frutas y verduras, Frutas
Pera blanquilla unidad (210 gr aprox.)|(Sin marca)|Frutas y verduras, Frutas
Pera conferencia|(Sin marca)|Frutas y verduras, Frutas
Pera conferencia Carrefour 1,5 Kg|Carrefour|Frutas y verduras, Frutas
Pera conferencia unidad (230 gr aprox.)|(Sin marca)|Frutas y verduras, Frutas
Pera ecológica 500 g|(Sin marca)|Frutas y verduras, Frutas
Pera limonera unidad (320 gr aprox.)|(Sin marca)|Frutas y verduras, Frutas
Peras conferencia|(Sin marca)|Frutas y verduras, Frutas
Piña deshidratada Hacendado|Hacendado|Frutas y verduras, Aperitivos, Frutas
Piña natural a rodajas|(Sin marca)|Frutas y verduras, Frutas
Plátano de Canarias cat 1ª 1 Kg aprox|(Sin marca)|Frutas y verduras, Frutas
Plátano de freir a granel 1 Kg aprox|(Sin marca)|Frutas y verduras, Frutas
Plátano rodajas deshidratado Carrefour tarrina 175 g|Carrefour|Frutas y verduras, Frutas
Tomate cherry pera ecológico 250 g|(Sin marca)|Frutas y verduras, Frutas
Tomate pera|(Sin marca)|Frutas y verduras, Frutas
Tomates pera|(Sin marca)|Frutas y verduras, Frutas
Uva blanca granel 500 g aprox|(Sin marca)|Frutas y verduras, Frutas
Uva blanca sin semilla bandeja 500 gr|(Sin marca)|Frutas y verduras, Frutas
Uva blanca sin semillas|(Sin marca)|Frutas y verduras, Frutas
Uva negra sin semillas|(Sin marca)|Frutas y verduras, Frutas
Uva roja racimo (920 gr aprox.)|(Sin marca)|Frutas y verduras, Frutas
Uva rosada sin pepitas Carrefour bandeja de 500 g|Carrefour|Frutas y verduras, Frutas
