Producto|Brand|Categories
Aguacate 500 g|(Sin marca)|Frutas y verduras, Otros
Aguacate bandeja 3/4 piezas|(Sin marca)|Frutas y verduras, Otros
Aguacate hass Carrefour a granel 1 kg|Carrefour|Frutas y verduras, Otros
Aguacates|(Sin marca)|Frutas y verduras, Otros
Ajete tierno manojo 120 g|(Sin marca)|Frutas y verduras, Otros
Ajetes, Trigueros, Gambas Carrefour 450 g.|Carrefour|Frutas y verduras, Platos preparados, Otros
Albahaca 20 gr|(Sin marca)|Frutas y verduras, Otros
Albahaca cortada Carrefour 20 g|Carrefour|Frutas y verduras, Otros
Boletus deshidratado  bandeja 30 g|(Sin marca)|Frutas y verduras, Otros
BONDUELLE edamame pack 2 latas x 80 gr|BONDUELLE|Frutas y verduras, Otros
Brotes germinados Hacendado|Hacendado|Frutas y verduras, Otros
Caqui persimón|(Sin marca)|Frutas y verduras, Otros
Chalotas|(Sin marca)|Frutas y verduras, Otros
Champiñon Carrefour Bio 300 g aprox|Carrefour Bio|Frutas y verduras, Otros
Champiñon pie cortado Carrefour 300 g aprox|Carrefour|Frutas y verduras, Otros
Champiñon pie cortado Carrefour 500 g aprox|Carrefour|Frutas y verduras, Otros
Chirivía|(Sin marca)|Frutas y verduras, Otros
Coco 500 g aprox|(Sin marca)|Frutas y verduras, Otros
Cogollos bandeja 3 uds|(Sin marca)|Frutas y verduras, Otros
Corazón de escarola Carrefour 150 g|Carrefour|Frutas y verduras, Otros
DIA habas baby bolsa 400 gr|DIA|Frutas y verduras, Otros
DIA rúcula bolsa 50 gr|DIA|Frutas y verduras, Otros
DIA salteado de setas y champiñones bolsa 450 gr|DIA|Frutas y verduras, Congelados, Otros
Dátil deshuesado Carrefour tarrina 300 g|Carrefour|Frutas y verduras, Otros
Dátil natural Carrefour tarrina 300 g|Carrefour|Frutas y verduras, Otros
Escarola rizada 1 ud|(Sin marca)|Frutas y verduras, Otros
FINDUS guisantes superfinos bolsa 400 gr|FINDUS|Frutas y verduras, Otros
Frambuesas tarrina 125 gr|(Sin marca)|Frutas y verduras, Otros
Fresón tarrina 500 g|(Sin marca)|Frutas y verduras, Otros
Granada Carrefour a granel 500 g aprox|Carrefour|Frutas y verduras, Otros
Grosellas Southern Sun 125 g|Southern Sun|Frutas y verduras, Otros
Guisante fino Hacendado ultracongelado|Hacendado|Frutas y verduras, Congelados, Otros
Guisantes finos Findus 1 kg.|Findus|Frutas y verduras, Otros
Haba baby Hacendado ultracongelada|Hacendado|Frutas y verduras, Otros
Hierbabuena|(Sin marca)|Frutas y verduras, Otros
Hierbabuena 20 gr|(Sin marca)|Frutas y verduras, Otros
Jengibre|(Sin marca)|Frutas y verduras, Otros
Jengibre Carrefour 100 g aprox|Carrefour|Frutas y verduras, Otros
Kale Carrefour 200 g|Carrefour|Frutas y verduras, Otros
Lima unidad (200 gr aprox.)|(Sin marca)|Frutas y verduras, Otros
Lombarda unidad (2.5 Kg aprox.)|(Sin marca)|Frutas y verduras, Otros
Maíz cocido mini mazorca Huercasa 400 g|Huercasa|Frutas y verduras, Otros
Maíz dulce|(Sin marca)|Frutas y verduras, Otros
Medio repollo liso|(Sin marca)|Frutas y verduras, Otros
Menestra tradicional Findus-Verdeliss 450 g.|Findus-Verdeliss|Frutas y verduras, Congelados, Otros
Menta|(Sin marca)|Frutas y verduras, Otros
Mix de frutos rojos Hacendado ultracongeladas|Hacendado|Frutas y verduras, Otros
Nuez fresca granel|(Sin marca)|Frutas y verduras, Otros
Orejones desecados Carrefour 200 g.|Carrefour|Frutas y verduras, Otros
Pasa moscatel Carrefour tarrina 300 g|Carrefour|Frutas y verduras, Otros
Perejil manojo de 150 g|(Sin marca)|Frutas y verduras, Otros
Pomelo|(Sin marca)|Frutas y verduras, Otros
Repollo liso|(Sin marca)|Frutas y verduras, Otros
Repollo liso unidad (2.4 Kg aprox.)|(Sin marca)|Frutas y verduras, Otros
Rúcula Carrefour 50 g|Carrefour|Frutas y verduras, Otros
Salteado de setas laminadas|(Sin marca)|Frutas y verduras, Otros
Seta Carrefour  250 g aprox|Carrefour|Frutas y verduras, Otros
Seta Carrefour  500 g aprox|Carrefour|Frutas y verduras, Otros
Seta shii-take Carrefour 200 g aprox|Carrefour|Frutas y verduras, Otros
Seta shiitake|(Sin marca)|Frutas y verduras, Otros
Setas cultivadas bandeja 400 gr|(Sin marca)|Frutas y verduras, Otros
Surtido setas deshidratadas  bandeja 30 g|(Sin marca)|Frutas y verduras, Otros
Yuca (500 gr aprox.)|(Sin marca)|Frutas y verduras, Otros
Yuca 1 Kg aprox|(Sin marca)|Frutas y verduras, Otros
Ñora entera deshidratada Trevijano bandeja 60 g|Trevijano|Frutas y verduras, Otros
