Producto|Brand|Categories
Acelga cortada Carrefour 300 g|Carrefour|Frutas y verduras, Congelados, Verduras y Hortalizas
Acelga hoja en porciones Hacendado ultracongelada|Hacendado|Frutas y verduras, Verduras y Hortalizas
Acelgas  manojo de 1 Kg|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Acelgas troceadas Hacendado|Hacendado|Frutas y verduras, Verduras y Hortalizas
Ajo Carrefour 100 g.|Carrefour|Frutas y verduras, Verduras y Hortalizas
Ajo morado ecológico Cachopo 500 g|Cachopo|Frutas y verduras, Salud, Verduras y Hortalizas
Ajo morado malla 500 gr|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Ajo negro dientes pelados|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
AL PUNTO brócoli y patatas bolsa 250 gr|AL PUNTO|Frutas y verduras, Verduras y Hortalizas
AL PUNTO Patatas asadas bandeja 250 gr|AL PUNTO|Frutas y verduras, Platos preparados, Verduras y Hortalizas
Albahaca ecológico Carrefour Bio maceta 1 ud|Carrefour Bio|Frutas y verduras, Verduras y Hortalizas
Alcachofa baby Hacendado ultracongelada|Hacendado|Frutas y verduras, Verduras y Hortalizas
Alga wakame deshidratada ecológica Porto Muiños 25 g.|Porto Muiños|Frutas y verduras, Verduras y Hortalizas
AMALUR patatas paris FRASCO 425 GR|AMALUR|Frutas y verduras, Verduras y Hortalizas
Apio en tiras Hacendado|Hacendado|Frutas y verduras, Verduras y Hortalizas
Berenjena|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Berenjena Carrefour Malla 500 g|Carrefour|Frutas y verduras, Verduras y Hortalizas
Bimi|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Boniato  bolsa 1 Kg aprox|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Boniato unidad (600 gr aprox.)|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Brócoli|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Brócoli Carrefour 500 g|Carrefour|Frutas y verduras, Verduras y Hortalizas
Brócoli ecológico Carrefour Bio 300 g|Carrefour Bio|Frutas y verduras, Verduras y Hortalizas
Brócoli Findus 750 g.|Findus|Frutas y verduras, Verduras y Hortalizas
Calabacin Carrefour Malla 1 kg|Carrefour|Frutas y verduras, Verduras y Hortalizas
Calabacín ecológico Carrefour Bio 500 g|Carrefour Bio|Frutas y verduras, Verduras y Hortalizas
Calabacín en dados congelado Carrefour 450 g.|Carrefour|Frutas y verduras, Verduras y Hortalizas
Calabacín redondo unidad (390 gr aprox.)|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Calabacín unidad (450 gr aprox.)|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Calabaza (1.9 Kg aprox.)|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Calabaza cacahuete cortada a trozos|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Calabaza cortada  500 g|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Calabaza dados al vacío 400 gr|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Calabaza ecológica a granel Carrefour Bio 1 kg aprox|Carrefour Bio|Frutas y verduras, Verduras y Hortalizas
Calabaza troceada ecológica Carrefour Bio 400 g|Carrefour Bio|Frutas y verduras, Verduras y Hortalizas
Cebolla 2 Kg|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Cebolla blanca Carrefour 500 g|Carrefour|Frutas y verduras, Verduras y Hortalizas
Cebolla ecológica Carrefour Bio 1 Kg|Carrefour Bio|Frutas y verduras, Verduras y Hortalizas
Cebolla malla 2 Kg|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Cebolla tierna manojo 350 gr|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Cebolla troceada Hacendado ultracongelada|Hacendado|Frutas y verduras, Congelados, Verduras y Hortalizas
Cebollas tiernas|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Champiñón grande|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Champiñón pie de tierra cortado bandeja (300 gr aprox.)|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Coles de Bruselas Carrefour 450 g.|Carrefour|Frutas y verduras, Verduras y Hortalizas
Coliflor|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Coliflor Carrefour 1 kg.|Carrefour|Frutas y verduras, Verduras y Hortalizas
Coliflor Findus 400 g.|Findus|Frutas y verduras, Verduras y Hortalizas
Coliflor floretes Carrefour 500 g|Carrefour|Frutas y verduras, Verduras y Hortalizas
Colifror 100% en forma de arroz Bonduelle 400 g.|Bonduelle|Frutas y verduras, Verduras y Hortalizas
Corazón de cogollos de lechuga 500 g|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
DIA canónigos bolsa 100 gr|DIA|Frutas y verduras, Verduras y Hortalizas
DIA coliflor bolsa 1 kg|DIA|Frutas y verduras, Congelados, Verduras y Hortalizas
DIA VEGECAMPO coliflor bolsa 1 Kg|DIA VEGECAMPO|Frutas y verduras, Verduras y Hortalizas
Espárrago verde manojo de 400 g|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Judía verde plana Cat 1ª  malla 500 g|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Judía verde plana Hacendado ultracongelada|Hacendado|Frutas y verduras, Verduras y Hortalizas
Judías verdes planas Findus 1 kg.|Findus|Frutas y verduras, Congelados, Verduras y Hortalizas
Kaki ecológico Carrefour Bio 500 g|Carrefour Bio|Frutas y verduras, Verduras y Hortalizas
Lechuga hoja de roble roja 1 ud|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Lechuga iceberg Carrefour 1 ud|Carrefour|Frutas y verduras, Verduras y Hortalizas
Lechuga iceberg pieza 1 ud|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
McCain patatas bravas bolsa 750 gr|McCain|Frutas y verduras, Verduras y Hortalizas
Media col lombarda|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Menestra de verduras Carrefour 1 kg.|Carrefour|Frutas y verduras, Verduras y Hortalizas
Menestra de verduras Findus 1 kg.|Findus|Frutas y verduras, Verduras y Hortalizas
Menestra de verduras Hacendado|Hacendado|Frutas y verduras, Verduras y Hortalizas
Mix 3 verduras Carrefour 600 g.|Carrefour|Frutas y verduras, Verduras y Hortalizas
Mix de verduras paisana|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Orejón albaricoque ecologico Carrefour granel tarrina 125 g|Carrefour|Frutas y verduras, Verduras y Hortalizas
Pasa sultana ecológica Carrefour granel tarrina 125 g|Carrefour|Frutas y verduras, Verduras y Hortalizas
Patata|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Patata ecológica Carrefour Bio 2 Kg|Carrefour Bio|Frutas y verduras, Verduras y Hortalizas
Patata kennebec bolsa 3 Kg|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
Patata Pat Chef 1 Kg|Pat Chef|Frutas y verduras, Verduras y Hortalizas
Patata tradicional Mc Cain 1 kg.|Mc Cain|Frutas y verduras, Verduras y Hortalizas
Patatas baby para microondas 400 g|(Sin marca)|Frutas y verduras, Verduras y Hortalizas
