Producto|Brand|Categories
ARIAS mantequilla ligera fácil de untar barqueta 235 gr|ARIAS|Lácteos y derivados, Mantequilla
Arroz con leche Hacendado|Hacendado|Lácteos y derivados, Postres
ASTURIANA mantequilla con sal barqueta 250 gr|ASTURIANA|Lácteos y derivados, Mantequilla
ASTURIANA mantequilla ligera fácil de untar tarrina 250 gr|ASTURIANA|Lácteos y derivados, Mantequilla
ASTURIANA mantequilla ligera sin lactosa barqueta 250 gr|ASTURIANA|Lácteos y derivados, Mantequilla
CLESA crema bombón 0,7% M.G. pack 4 unidades 125 gr|CLESA|Lácteos y derivados, Postres
CLESA yogur sabor galleta pack 4 unidades 125 gr|CLESA|Lácteos y derivados, Postres
Copa chocolate negro 200 gr|(Sin marca)|Lácteos y derivados, Postres
Copa de fresa Nestlé - La Lechera pack de 4 unidades de 100 g.|Nestlé - La Lechera|Lácteos y derivados, Postres
Copa Fondant de chocolate Danone - Vitalinea pack de 4 unidades de 100 g.|Danone Vitalinea|Lácteos y derivados, Postres
Crema bombón 50% menos de azúcar añadido Clesa sin lactosa pack de 4 unidades de 125 g.|Clesa|Lácteos y derivados, Postres
Cuajada azucarada Carrefour pack de 4 unidades de 125 g.|Carrefour|Lácteos y derivados, Postres
Cuajada Danone|Danone|Lácteos y derivados, Postres
Cuajada Hacendado|Hacendado|Lácteos y derivados, Postres
DIA flan de vainilla pack 6 unidades 100 gr|DIA|Lácteos y derivados, Postres
DIA nata para montar pack 3 unidades 200 ml|DIA|Lácteos y derivados, Natas
DIA natillas sabor chocolate pack 6 unidades 125 gr|DIA|Lácteos y derivados, Postres
DIA postre de chocolate ligero pack 4 unidades 125 gr|DIA|Lácteos y derivados, Postres
DIA postre gelificado de fresa, limón y multifrutas pack 6 unidades 100 gr|DIA|Lácteos y derivados, Postres
Flan de café Reina sin gluten pack de 4 unidades de 25 g.|Reina|Lácteos y derivados, Postres
Flan de huevo al baño María Carrefour pack de 9 unidades de 100 g.|Carrefour|Lácteos y derivados, Postres
Flan de huevo al baño María Dhul pack de 4 unidades de 110 g.|Dhul|Lácteos y derivados, Postres
Flan de huevo Hacendado|Hacendado|Lácteos y derivados, Postres
Flan de huevo La Lechera pack de 2 unidades de 100 g.|La Lechera|Lácteos y derivados, Postres
Flan de huevo sin azúcar añadido Reina sin gluten pack de 4 unidades de 100 g.|Reina|Lácteos y derivados, Postres
Flan de huevo sin azúcares añadidos Hacendado|Hacendado|Lácteos y derivados, Postres
Flan de queso Carrefour sin gluten pack de 4 unidades de 110 g.|Carrefour|Lácteos y derivados, Postres
Flan de queso Danone sin gluten pack de 4 unidades de 100 g.|Danone|Lácteos y derivados, Postres
Flan de queso Hacendado|Hacendado|Lácteos y derivados, Postres
La cuajada de leche de oveja Goshua|Goshua|Lácteos y derivados, Postres
LA LECHERA topping de lemon pie bote 450 gr|LA LECHERA|Lácteos y derivados, Postres
Leche evaporada desnatada Nestlé - Ideal 525 g.|Nestlé - Ideal|Lácteos y derivados, Natas
Leche evaporada Hacendado|Hacendado|Lácteos y derivados, Natas
Leche evaporada Nestlé Ideal sin lactosa 525 g.|Nestlé Ideal|Lácteos y derivados, Natas
Mantequilla Carrefour 250 g.|Carrefour|Lácteos y derivados, Mantequilla
Mantequilla con sal Hacendado|Hacendado|Lácteos y derivados, Mantequilla
