Producto|Brand|Categories
Bollo con pepitas de chocolate con leche Weikis La Bella Easo 6 ud.|La Bella Easo|Panadería y bollería, Pastelería y Tartas
Bollo con pepitas de chocolate Weikis La Bella Easo 6 ud.|La Bella Easo|Panadería y bollería, Pastelería y Tartas
Brownie de chocolate intenso Chips Ahoy 150 g.|Chips Ahoy|Panadería y bollería, Pastelería y Tartas
Buñuelos surtidos rellenos de nata, crema y trufa congelados|(Sin marca)|Panadería y bollería, Pastelería y Tartas
Crepes rellenos de chocolate|(Sin marca)|Panadería y bollería, Pastelería y Tartas
Crepes rellenos de chocolate Belga Hacendado ultracongelados|Hacendado|Panadería y bollería, Pastelería y Tartas
Delicias de hojaldre Carrefour 410 g.|Carrefour|Panadería y bollería, Pastelería y Tartas
DIA rosquillas de pan bolsa 250 gr|DIA|Panadería y bollería, Pastelería y Tartas
Dolcesoles de chocolate Dulcesol 4 ud.|Dulcesol|Panadería y bollería, Pastelería y Tartas
DR. OETKER My sweet deli pastel de mousse de chocolate caja 600 gr|DR. OETKER|Panadería y bollería, Pastelería y Tartas
Gofres con chocolate Punto Gofre|Punto Gofre|Panadería y bollería, Pastelería y Tartas
Hojaldre cabello de Ángel Hacendado|Hacendado|Panadería y bollería, Pastelería y Tartas
Hojaldre de manzana Hacendado|Hacendado|Panadería y bollería, Pastelería y Tartas
Hojaldre relleno de crema Hacendado sin azúcar añadido y sin lactosa|Hacendado|Panadería y bollería, Pastelería y Tartas
Marquesas rellenas de chocolate Carrefour 300 g.|Carrefour|Panadería y bollería, Pastelería y Tartas
Miguelitos de chocolate blanco Ruiz 500 g|Ruiz|Panadería y bollería, Pastelería y Tartas
Miguelitos de Chocolate Ruiz 500 g aprox|Ruiz|Panadería y bollería, Pastelería y Tartas
Milhojas de hojaldre 290 g|(Sin marca)|Panadería y bollería, Pastelería y Tartas
Mini panettone de chocolate bolsa 100 gr|(Sin marca)|Panadería y bollería, Pastelería y Tartas
Mini rolls de chocolate Balconi 180 g.|Balconi|Panadería y bollería, Chocolates, Pastelería y Tartas
Palitos de pan con chocolate Anitin|Anitin|Panadería y bollería, Pastelería y Tartas
Pan de leche con pepitas de chocolate Carrefour 10 ud.|Carrefour|Panadería y bollería, Pastelería y Tartas
Panettone tartufo con chocolate Motta 650 g.|Motta|Panadería y bollería, Pastelería y Tartas
Pastel de crema 65%|(Sin marca)|Panadería y bollería, Pastelería y Tartas
Pastel mantequilla Tia Merry 400 g.|Tia Merry|Panadería y bollería, Pastelería y Tartas
Roscón de reyes pequeño de trufa con pepitas de chocolate Carrefour 420 g|Carrefour|Panadería y bollería, Navideños, Pastelería y Tartas
Roscón de Reyes relleno con crema congelado|(Sin marca)|Panadería y bollería, Pastelería y Tartas
Solettes crema DulceSol Pack de 4 ud.|DulceSol|Panadería y bollería, Pastelería y Tartas
Surtido de hojaldres 20 ud|(Sin marca)|Panadería y bollería, Pastelería y Tartas
Tarta bombón 8 raciones|(Sin marca)|Panadería y bollería, Postres, Pastelería y Tartas
Tarta chocolate con lacasitos 400 g|(Sin marca)|Panadería y bollería, Pastelería y Tartas
Tarta de albaricoque Dolce Genuino 400 g.|Dolce Genuino|Panadería y bollería, Pastelería y Tartas
Tarta de Almendra 580 g|(Sin marca)|Panadería y bollería, Pastelería y Tartas
Tarta de manzana   Bandeja de 400 g.|(Sin marca)|Panadería y bollería, Pastelería y Tartas
Tarta de San Marcos 8 raciones 1 ud|(Sin marca)|Panadería y bollería, Pastelería y Tartas
Tarta Rainbow 600 g|(Sin marca)|Panadería y bollería, Pastelería y Tartas
Trenza hojaldre de mantequilla Hacendado congelada|Hacendado|Panadería y bollería, Pastelería y Tartas
Xuxu rayado relleno de chocolate 57%|(Sin marca)|Panadería y bollería, Pastelería y Tartas
Xuxu relleno de crema 49%|(Sin marca)|Panadería y bollería, Pastelería y Tartas
