Producto|Brand|Categories
Arabe Dulce|(Sin marca)|Panadería y bollería, Salado y Otros
Arepa de choclo El Dorado 4 ud.|El Dorado|Panadería y bollería, Salado y Otros
Arepa de maíz blanco Goya 450 g.|Goya|Panadería y bollería, Salado y Otros
Arepitas de queso venezolanas Antojos Araguaney 540 g.|Antojos Araguaney|Panadería y bollería, Salado y Otros
Baguetinas congeladas Maheso pack de 4 unidades de 125 g.|Maheso|Panadería y bollería, Salado y Otros
Barritas artesana queso Velarte 90 g.|Velarte|Panadería y bollería, Aperitivos, Salado y Otros
Bizcochitos Lulu el osito|Lulu|Panadería y bollería, Salado y Otros
BLANCO pastas artesanas de almendras 400 gr|BLANCO|Panadería y bollería, Salado y Otros
Bocaditos con cacao DulceSol 12 ud.|DulceSol|Panadería y bollería, Salado y Otros
Bollitos Pasquier 8 ud.|Pasquier|Panadería y bollería, Salado y Otros
Canasta Dulce|(Sin marca)|Panadería y bollería, Salado y Otros
Cebolla frita sabor queso 100 g|(Sin marca)|Panadería y bollería, Salado y Otros
Crepes Hacendado ultracongelados|Hacendado|Panadería y bollería, Salado y Otros
CUETARA Tosta rica bizcochitos rellenos oceanix caja 160 gr|CUETARA|Panadería y bollería, Salado y Otros
DIA DULCE NOEL roscón de Reyes relleno sabor trufa caja 550 gr|DIA DULCE NOEL|Panadería y bollería, Salado y Otros
DIA mojicón envasados individualmente bolsa 500gr|DIA|Panadería y bollería, Salado y Otros
Dolcesoles de azúcar Dulcesol 4 ud.|Dulcesol|Panadería y bollería, Salado y Otros
Flautín dua de bacón con queso 280 g|(Sin marca)|Panadería y bollería, Salado y Otros
Focaccine aceituna bonta Lucane 200 g.|Lucane|Panadería y bollería, Salado y Otros
Gitanitos 6 ud.|(Sin marca)|Panadería y bollería, Salado y Otros
Gofres clásicos Punto Gofre|Punto Gofre|Panadería y bollería, Salado y Otros
Grissini con aceite de oliva Carrefour 125 g.|Carrefour|Panadería y bollería, Salado y Otros
Grissinis Schär sin gluten 150 g.|Schär|Panadería y bollería, Salado y Otros
MAHESO churros lazo bolsa 500 gr|MAHESO|Panadería y bollería, Salado y Otros
Mantecadas Hacendado|Hacendado|Panadería y bollería, Salado y Otros
Medias noches bolsa 7 uds 175 gr|(Sin marca)|Panadería y bollería, Salado y Otros
Medias noches mini 300 g|(Sin marca)|Panadería y bollería, Salado y Otros
MILKA cake & choc paquete 175 gr|MILKA|Panadería y bollería, Chocolates, Salado y Otros
Mini tostas de trigo integrales Minigrill extra finas|Minigrill|Panadería y bollería, Salado y Otros
Mollete de Antequera mediano congelado El Antequerano 4 ud|El Antequerano|Panadería y bollería, Salado y Otros
Obleas artesanas Yonata 24 ud|Yonata|Panadería y bollería, Salado y Otros
Pain raisin 110 g|(Sin marca)|Panadería y bollería, Salado y Otros
Palitos con frutos secos Hacendado|Hacendado|Panadería y bollería, Aperitivos, Salado y Otros
Palmeritas DulceSol 180 g.|DulceSol|Panadería y bollería, Salado y Otros
Palmeritas Hacendado|Hacendado|Panadería y bollería, Salado y Otros
Pavé multicereales 1 ud|(Sin marca)|Panadería y bollería, Salado y Otros
Picatostes ajo y finas hierbas para ensalada Florette 70 g|Florette|Panadería y bollería, Salado y Otros
Picatostes fritos con ajo Hacendado|Hacendado|Panadería y bollería, Salado y Otros
Picatostes fritos Hacendado|Hacendado|Panadería y bollería, Salado y Otros
Picatostes fritos sabor clásico Carrefour 75 g.|Carrefour|Panadería y bollería, Salado y Otros
Piquitos De Nuestra Tierra 220 g.|De Nuestra Tierra|Panadería y bollería, Salado y Otros
Porras congeladas Hacendado|Hacendado|Panadería y bollería, Salado y Otros
Porras fritas 320 g.|(Sin marca)|Panadería y bollería, Salado y Otros
Quesada pasiega De Nuestra Tierra 450 g.|De Nuestra Tierra|Panadería y bollería, Salado y Otros
RAPUN trenza de Huesca caja 450 gr|RAPUN|Panadería y bollería, Salado y Otros
RECONDO crackers normal paquete 250 gr|RECONDO|Panadería y bollería, Salado y Otros
Regañá El Antequerano 150 g|El Antequerano|Panadería y bollería, Salado y Otros
Rosca sin relleno Hacendado|Hacendado|Panadería y bollería, Salado y Otros
Roscos bañados y decorados 380 g|(Sin marca)|Panadería y bollería, Salado y Otros
Roscón de reyes mediano sin relleno Carrefour 500 g|Carrefour|Panadería y bollería, Salado y Otros
Roscón de reyes pequeño Carrefour|Carrefour|Panadería y bollería, Salado y Otros
Rosegones pasta de almendras Hacendado|Hacendado|Panadería y bollería, Salado y Otros
Rosquita mixta 205 g|(Sin marca)|Panadería y bollería, Salado y Otros
SAN MARTIN lionesas nata estuche 260 gr|SAN MARTIN|Panadería y bollería, Salado y Otros
Taralli tondi olio oliva di barletta Terre d'Italia 500 g.|Terre d'Italia|Panadería y bollería, Salado y Otros
Tiernecitos redondos Carrefour 2 ud|Carrefour|Panadería y bollería, Salado y Otros
Tortillas de maíz sin gluten Old El Paso|Old El Paso|Panadería y bollería, Salado y Otros
Tortillas de trigo Carrefour 8 unidades|Carrefour|Panadería y bollería, Salado y Otros
Tortillas de trigo Dürüm Mission 6 ud.|Mission|Panadería y bollería, Salado y Otros
Tortillas de trigo multicereales Mission 6 ud.|Mission|Panadería y bollería, Salado y Otros
Tortillas de trigo Old El Paso 515 g.|Old El Paso|Panadería y bollería, Cocina internacional, Salado y Otros
Tortillas de trigo para fajitas Mexifoods 8 ud.|Mexifoods|Panadería y bollería, Salado y Otros
Tortillas de trigo Wraps Mexifoods sin lactosa 6 ud.|Mexifoods|Panadería y bollería, Salado y Otros
Tortillas de trigo y maiz Carrefour 320 g.|Carrefour|Panadería y bollería, Salado y Otros
Tortillas integrales de trigo Old El Paso 350 g.|Old El Paso|Panadería y bollería, Salado y Otros
Tortillas mexicanas extra tiernas sin gluten Old El Paso pack de 6 unidades de 36 g.|Old El Paso|Panadería y bollería, Cocina internacional, Salado y Otros
Tostaditas con arándanos Bimbo 100 g.|Bimbo|Panadería y bollería, Salado y Otros
Tostas marineras con sal Daveiga 200 g.|Daveiga|Panadería y bollería, Salado y Otros
Trenza con nueces de Pecán 4%|(Sin marca)|Panadería y bollería, Salado y Otros
Trenza de pasas 1 ud|(Sin marca)|Panadería y bollería, Salado y Otros
Tulipas Carrefour 75 g.|Carrefour|Panadería y bollería, Salado y Otros
Valencianas Hacendado|Hacendado|Panadería y bollería, Salado y Otros
Volauvent mini paquete 12 uds|(Sin marca)|Panadería y bollería, Platos preparados, Salado y Otros
Wraps Texas|(Sin marca)|Panadería y bollería, Salado y Otros
