Producto|Brand|Categories
AGUINAMAR colas de langostino al ajillo envase 105 gr|AGUINAMAR|Pescadería
AGUINAMAR mejillones cocidos envasado al vació 1 Kg|AGUINAMAR|Pescadería
AGUINAMAR mejillones en salsa de tomate envase 500 gr|AGUINAMAR|Pescadería
AGUINAMAR mejillones en su jugo envase 500 gr|AGUINAMAR|Pescadería
AGUINAMAR pintxo a la donostiarra envase 200 gr|AGUINAMAR|Pescadería
AGUINAMAR salpicón de marisco bandeja 225 gr|AGUINAMAR|Pescadería
Albóndigas de bacalao Camós congeladas|Camós|Pescadería
Alistado mediano congelado|(Sin marca)|Pescadería
Alistado pequeño congelado|(Sin marca)|Pescadería, Congelados
Almeja de cultivo (peso aprox. 250 gr)|(Sin marca)|Pescadería
Almeja de cultivo fresca Calidad y Origen Carrefour 500 g|Carrefour|Pescadería
Almeja del pacífico entera Hacendado ultracongelada|Hacendado|Pescadería, Congelados
Almeja entera Mascato|Mascato|Pescadería
Almeja japonesa|(Sin marca)|Pescadería
Almeja reloj fresca 500 g|(Sin marca)|Pescadería
Anchodinas envase 50 gr|(Sin marca)|Pescadería, Aperitivos
Anguriñas de surimi Pescanova ultracongeladas|Pescanova|Pescadería
Anillas de pota Argentina Hacendado congeladas|Hacendado|Pescadería
Anillas de potón (peso aprox. 250 gr)|(Sin marca)|Pescadería
Atún Ahumado Carrefour 80 g.|Carrefour|Pescadería
Bacaladilla en filete 500 g aprox|(Sin marca)|Pescadería
Bacalao salado 600 g aprox|(Sin marca)|Pescadería
Bacalao seco y salado Ubago|Ubago|Pescadería
Bacalao skrei desalado desmigado Calidad y Origen Carrefour 250 g|Carrefour|Pescadería
Bacalao skrei salado desmigado Calidad y Origen Carrefour 250 g|Carrefour|Pescadería
Bacalao troceado congelado 400 g|(Sin marca)|Pescadería
Bocas chicas de cangrejos congeladas|(Sin marca)|Pescadería
Bocas de buey cocidas Carrefour 250 g aprox|Carrefour|Pescadería
Boquerones 500 g aprox|(Sin marca)|Pescadería
Boquerones en vinagre Marvalmar en aceite de girasol|Marvalmar|Pescadería
Boquerones Ortiz 80 g.|Ortiz|Pescadería
Boquerón en vinagre 265 g|(Sin marca)|Pescadería, Platos preparados
Boquerón limpio|(Sin marca)|Pescadería
Boquerón limpio congelado Delfín 500 g.|Delfín|Pescadería, Congelados
Brandada de bacalao Angomar 225 g|Angomar|Pescadería, Platos preparados
Calamar Carrefour 1 kg aprox|Carrefour|Pescadería
Calamar extra grande sin limpiar descongelado|(Sin marca)|Pescadería
Calamar patagónico congelado 500 g|(Sin marca)|Pescadería
Calamar pequeño limpio descongelado sin barquilla y sin tripa|(Sin marca)|Pescadería
Camarón boreal cocido y pelado Royal Greenland ultracongelado|Royal Greenland|Pescadería
Carne de almeja Hacendado ultracongelada|Hacendado|Pescadería
Carne de Mejillon cocido 80/120 Carrefour 400 g.|Carrefour|Pescadería
Carne de mejillón de Chile cocido Hacendado ultracongelado|Hacendado|Pescadería, Congelados
Carne de Vieira Falfish congelada|Falfish|Pescadería, Congelados
Chipirones en su tinta 500 g aprox|(Sin marca)|Pescadería
