Producto|Brand|Categories
Alistado mediano congelado|(Sin marca)|Pescadería, Congelados
Alistado pequeño congelado|(Sin marca)|Pescadería, Congelados, Congelados
Almeja del pacífico entera Hacendado ultracongelada|Hacendado|Pescadería, Congelados, Congelados
Anillas de pota Argentina Hacendado congeladas|Hacendado|Pescadería, Congelados
Bacalao troceado congelado 400 g|(Sin marca)|Pescadería, Congelados
Bocas chicas de cangrejos congeladas|(Sin marca)|Pescadería, Congelados
Boquerón limpio congelado Delfín 500 g.|Delfín|Pescadería, Congelados, Congelados
Calamar extra grande sin limpiar descongelado|(Sin marca)|Pescadería, Congelados
Calamar patagónico congelado 500 g|(Sin marca)|Pescadería, Congelados
Calamar pequeño limpio descongelado sin barquilla y sin tripa|(Sin marca)|Pescadería, Congelados
Camarón boreal cocido y pelado Royal Greenland ultracongelado|Royal Greenland|Pescadería, Congelados
Carne de almeja Hacendado ultracongelada|Hacendado|Pescadería, Congelados
Carne de mejillón de Chile cocido Hacendado ultracongelado|Hacendado|Pescadería, Congelados, Congelados
Carne de Vieira Falfish congelada|Falfish|Pescadería, Congelados, Congelados
Chipirón puntilla Hacendado congelado|Hacendado|Pescadería, Congelados
Corazones de filete de merluza ultracongelados Pescanova 500 g.|Pescanova|Pescadería, Congelados
Filete de bacalao al punto sal ultracongelado Carrefour 400 g.|Carrefour|Pescadería, Congelados
Filete de fletán negro Hacendado congelado|Hacendado|Pescadería, Congelados
Filete de merluza con piel ultracongelada 600 g.|(Sin marca)|Pescadería, Congelados
Filete de salmón salvaje congelado 400 g.|(Sin marca)|Pescadería, Congelados
Filetes de abadejo de Alaska sin piel Hacendado ultracongelados|Hacendado|Pescadería, Congelados
Filetes de bacalao congelados Dimar 400 g.|Dimar|Pescadería, Congelados
Filetes de bacalao ultracongelado Pescanova 400 g.|Pescanova|Pescadería, Congelados
Filetes de boquerón en tempura Hacendado ultracongelado|Hacendado|Pescadería, Congelados
Filetes de fletán congelados Antonio y Ricardo 500 g.|Antonio y Ricardo|Pescadería, Congelados, Congelados
Filetes de merluza al huevo Hacendado ultracongelados|Hacendado|Pescadería, Congelados
Filetes de merluza Argentina sin piel Hacendado ultracongelados|Hacendado|Pescadería, Congelados, Congelados
Filetes de merluza del cabo sin piel Hacendado ultracongelados|Hacendado|Pescadería, Congelados
Filetes de panga ultracongelados|(Sin marca)|Pescadería, Congelados, Congelados
Filetes de pescado empanado congelado Carrefour 800 g.|Carrefour|Pescadería, Congelados
Fritura de pescado Hacendado ultracongelada|Hacendado|Pescadería, Congelados
Gamba arrocera Hacendado congelada|Hacendado|Pescadería, Congelados
Gamba cocida congelada 600 g|(Sin marca)|Pescadería, Congelados
Gamba gabardina con ajo y perejil congelada 400 g|(Sin marca)|Pescadería, Congelados
Gamba pelada cruda tamaño mediano Hacendado ultracongelada|Hacendado|Pescadería, Congelados
Gamba pelada pequeña congelada Pescatrade 400 g|Pescatrade|Pescadería, Congelados
Gambón congelado|(Sin marca)|Pescadería, Congelados
Gambón congelado (20/30 ud) caja 2 Kg|(Sin marca)|Pescadería, Congelados
Gambón nº1 congelado Carrefour 1 kg aprox|Carrefour|Pescadería, Congelados
Langostino caballitos rebozados Hacendado ultracongelados|Hacendado|Pescadería, Congelados
Langostino cocido congelado (30/40 ud) Pescatrade 1 kg aprox|Pescatrade|Pescadería, Congelados
Langostino cocido ecológico congelado Carrefour 600 g|Carrefour|Pescadería, Congelados
Langostino cocido Pescanova ultracongelado|Pescanova|Pescadería, Congelados
Langostino crudo ecológico congelado  Pesca Facil 600g|Pesca Facil|Pescadería, Congelados
Langostino crudo Pescanova ultracongelado|Pescanova|Pescadería, Congelados
Langostino crudo y pelado Pescanova ultracongelado|Pescanova|Pescadería, Congelados
Langostino en su nido Vdfoodltd congelado|Vdfoodltd|Pescadería, Congelados
Lomo de bacalao sin espinas Hacendado congelado|Hacendado|Pescadería, Congelados
Lomos de abadejo de Alaska sin piel congelados 400 g|(Sin marca)|Pescadería, Congelados
Lomos de bacalao congelado Skrei Calidad y Origen Carrefour 360 g|Carrefour|Pescadería, Congelados
Lomos de merluza ultracongelados Pescanova 400 g.|Pescanova|Pescadería, Congelados, Congelados
Lomos de salmón de Noruega sin piel y sin espinas Hacendado congelado|Hacendado|Pescadería, Congelados
Lomos salmón congelados Carrefour 480 g.|Carrefour|Pescadería, Congelados
Lomos y centros de merluza del cabo Hacendado ultracongelados|Hacendado|Pescadería, Congelados
Mejillón de Chile cocido media concha Hacendado ultracongelado|Hacendado|Pescadería, Congelados
Mejillón de Chile entero cocido Hacendado ultracongelado|Hacendado|Pescadería, Congelados
Mejillón tigre relleno congelado 400 g|(Sin marca)|Pescadería, Platos preparados, Congelados
Merluza empanada pan fino Hacendado ultracongelada|Hacendado|Pescadería, Congelados, Congelados
Migas de bacalao sin espinas y sin piel Hacendado congeladas|Hacendado|Pescadería, Congelados
Muslitos del oceano congelados 300 g|(Sin marca)|Pescadería, Congelados
Navaja cruda Hacendado congelada|Hacendado|Pescadería, Congelados
Nuggets de merluza Pescanova ultracongelados|Pescanova|Pescadería, Congelados, Congelados
Palitos de merluza a la romana Hacendado ultracongelados|Hacendado|Pescadería, Congelados
Porciones de bacalao ultracongeladas Pescanova 400 g.|Pescanova|Pescadería, Congelados
Porciones de merluza del cabo Hacendado ultracongeladas|Hacendado|Pescadería, Congelados
Pulpo cocido troceado Profand congelado|Profand|Pescadería, Congelados
Pulpo congelado 1 Kg aprox|(Sin marca)|Pescadería, Congelados
Pulpo congelado 2,5 Kg aprox|(Sin marca)|Pescadería, Congelados
Pulpo crudo grande Hacendado congelado|Hacendado|Pescadería, Congelados
Puntilla cruda congelada Delfín 450 g.|Delfín|Pescadería, Congelados
Puntilla sin pluma congelada 450 g|(Sin marca)|Pescadería, Congelados
Rabas empanadas Hacendado ultracongeladas|Hacendado|Pescadería, Congelados
Rodaja de emperador Hacendado congelado|Hacendado|Pescadería, Congelados
Rodaja de merluza congelado Carrefour 400 g|Carrefour|Pescadería, Congelados
Rodajas de emperador pequeñas Hacendado ultracongeladas|Hacendado|Pescadería, Congelados
Sepia limipia congelada 480 g|(Sin marca)|Pescadería, Congelados
Sepia limpia congelada|(Sin marca)|Pescadería, Congelados
Sepia limpia congelada Carrefour 350 g|Carrefour|Pescadería, Congelados
Sepia limpia pequeña Hacendado congelada|Hacendado|Pescadería, Congelados, Congelados
Solomillo de atún congelado Campos 250 g.|Campos|Pescadería, Congelados
Supremas de salmón sin piel congelado Findus 200 g.|Findus|Pescadería, Congelados
Tinta de sepia congelada 2 ud de 4 g|(Sin marca)|Pescadería, Congelados
Varitas de merluza empanadas Hacendado ultracongeladas|Hacendado|Pescadería, Congelados
