Producto|Brand|Categories
AGUINAMAR colas de langostino al ajillo envase 105 gr|AGUINAMAR|Pescadería, Marisco y Moluscos
AGUINAMAR mejillones cocidos envasado al vació 1 Kg|AGUINAMAR|Pescadería, Marisco y Moluscos
AGUINAMAR mejillones en salsa de tomate envase 500 gr|AGUINAMAR|Pescadería, Marisco y Moluscos
AGUINAMAR mejillones en su jugo envase 500 gr|AGUINAMAR|Pescadería, Marisco y Moluscos
Almeja de cultivo (peso aprox. 250 gr)|(Sin marca)|Pescadería, Marisco y Moluscos
Almeja de cultivo fresca Calidad y Origen Carrefour 500 g|Carrefour|Pescadería, Marisco y Moluscos
Almeja entera Mascato|Mascato|Pescadería, Marisco y Moluscos
Almeja japonesa|(Sin marca)|Pescadería, Marisco y Moluscos
Almeja reloj fresca 500 g|(Sin marca)|Pescadería, Marisco y Moluscos
Anillas de potón (peso aprox. 250 gr)|(Sin marca)|Pescadería, Marisco y Moluscos
Bocas de buey cocidas Carrefour 250 g aprox|Carrefour|Pescadería, Marisco y Moluscos
Calamar Carrefour 1 kg aprox|Carrefour|Pescadería, Marisco y Moluscos
Carne de Mejillon cocido 80/120 Carrefour 400 g.|Carrefour|Pescadería, Marisco y Moluscos
Chipirones en su tinta 500 g aprox|(Sin marca)|Pescadería, Marisco y Moluscos
Cigala 17/20 Carrefour 800 gr.|Carrefour|Pescadería, Marisco y Moluscos
Colas de langostino al ajillo Aguinamar 105 g|Aguinamar|Pescadería, Marisco y Moluscos
Colas de langostino extra Tail on Royal 125 g|Royal|Pescadería, Marisco y Moluscos
DIA almeja del pacífico envase 450 gr|DIA|Pescadería, Marisco y Moluscos
DIA anillas de calamar a la romana bolsa 500 gr|DIA|Pescadería, Marisco y Moluscos
DIA colas de langostino cocido pelado 60/120 piezas 200 gr|DIA|Pescadería, Marisco y Moluscos
DIA DELICIOUS pulpo en aceite de oliva lata 65 gr|DIA DELICIOUS|Pescadería, Marisco y Moluscos
DIA langostino cocido grande 32/48 caja 800 gr|DIA|Pescadería, Marisco y Moluscos
DIA MARI MARINERA langostino crudo grande 32/48 piezas caja 800 gr|DIA|Pescadería, Congelados, Marisco y Moluscos
DIA MARI MARINERA langostino crudo mediano 48/64 piezas caja 800 gr|DIA|Pescadería, Marisco y Moluscos
DIA marulas con gambas al ajillo bandeja 250 gr|DIA|Pescadería, Marisco y Moluscos
Finas del mar con gambas al ajillo 175 g|(Sin marca)|Pescadería, Marisco y Moluscos
Gamba blanca cruda Carrefour 400 g.|Carrefour|Pescadería, Marisco y Moluscos
Gamba cocida gambafresh 750 g.|(Sin marca)|Pescadería, Marisco y Moluscos
Gamba gigante pelada cruda Aligator 1 kg aprox|Aligator|Pescadería, Marisco y Moluscos
Gamba pelada grande Pescatrade 400 g|Pescatrade|Pescadería, Marisco y Moluscos
Langostino Austral cocido Gigante Pescanova 800 g.|Pescanova|Pescadería, Marisco y Moluscos
Langostino cocido (30/40 ud) 500 g aprox|(Sin marca)|Pescadería, Marisco y Moluscos
Langostino cocido bolsa (peso aprox. 500 gr)|(Sin marca)|Pescadería, Marisco y Moluscos
Langostino cocido extra Pescanova 800 g.|Pescanova|Pescadería, Marisco y Moluscos
Langostino Jumbo 0/10 500 g aprox|(Sin marca)|Pescadería, Congelados, Marisco y Moluscos
Langostino vannamei cocido 32/40 Carrefour 800 g.|Carrefour|Pescadería, Marisco y Moluscos
Langostinos pelados y cocidos Royal 280 g|Royal|Pescadería, Marisco y Moluscos
MARI MARINERA langostino cocido grande 32/48 piezas caja 800 gr|MARI MARINERA|Pescadería, Marisco y Moluscos
Medio pulpo cocido Merimar 350 g|Merimar|Pescadería, Marisco y Moluscos
Mejillones a la marinera en salsa de tomate Aguinamar 900 g|Aguinamar|Pescadería, Marisco y Moluscos
NORTINDAL pack tinta de calamar 4 unidades 4 gr|NORTINDAL|Pescadería, Marisco y Moluscos
PESCANOVA chipirones rebozados al huevo caja 250 gr|PESCANOVA|Pescadería, Marisco y Moluscos
Rodajas de potón a la gallega Hacendado|Hacendado|Pescadería, Marisco y Moluscos
Sepia 500 g aprox|(Sin marca)|Pescadería, Marisco y Moluscos
Sepia limpia (peso aprox. 600 gr)|(Sin marca)|Pescadería, Marisco y Moluscos
Sepia mediana limpia y entera unidad (peso aprox. 500 gr)|(Sin marca)|Pescadería, Marisco y Moluscos
Tacos de pota a la marinera Hacendado|Hacendado|Pescadería, Marisco y Moluscos
Tacos de pota al ajillo Hacendado|Hacendado|Pescadería, Marisco y Moluscos
Tacos de potón en salsa americana Carrefour sin gluten pack de 3 unidades de 51 g.|Carrefour|Pescadería, Marisco y Moluscos
