Producto|Brand|Categories
AGUINAMAR pintxo a la donostiarra envase 200 gr|AGUINAMAR|Pescadería, Otros
Anchodinas envase 50 gr|(Sin marca)|Pescadería, Aperitivos, Otros
Boquerón limpio|(Sin marca)|Pescadería, Otros
Cola pelada de gambón cocida Pescatrade 300 g|Pescatrade|Pescadería, Otros
Colín de Alaska al natural Carrefour 110 g.|Carrefour|Pescadería, Otros
Coquina/tellina vacio 250 g|(Sin marca)|Pescadería, Otros
Corvina limpia con cabeza|(Sin marca)|Pescadería, Otros
DIA colas de gambón peladas crudas envase 200 gr|DIA|Pescadería, Otros
DIA muslitos de mar caja 250 gr|DIA|Pescadería, Otros
Gambón argentino Mares del Sur 2 kg.|Mares del Sur|Pescadería, Otros
Gambón crudo bolsa (peso aprox. 500 gr)|(Sin marca)|Pescadería, Otros
Gambón nº1 Carrefour 1 kg|Carrefour|Pescadería, Otros
Huevas de arenque Avruga 55 g.|Avruga|Pescadería, Otros
Huevas de lumpo Carrefour 80 g.|Carrefour|Pescadería, Otros
Huevas de lumpo Hacendado|Hacendado|Pescadería, Conservas, Otros
Huevas mujjól shikrán negro sin gluten 80 g.|Shikrán|Pescadería, Conservas, Otros
Mejillón ecológico 500 g|(Sin marca)|Pescadería, Otros
Mejillón fresco Calidad y Origen Carrefour 1 kg|Carrefour|Pescadería, Otros
Mejillón fresco cocido en salmuera 300 g|(Sin marca)|Pescadería, Otros
Mejillón fresco cocido en su jugo 800 g|(Sin marca)|Pescadería, Otros
Mejillón pasteurizado Calidad y Origen Carrefour 800 g|Carrefour|Pescadería, Otros
Mejillón vivo fresco gourmet ecológico Aguinamar 1 kg|Aguinamar|Pescadería, Salud, Otros
Mendo 500 g aprox|(Sin marca)|Pescadería, Otros
Morralla|(Sin marca)|Pescadería, Otros
Muslitos de mar Pescanova sin gluten y sin lactosa 250 g.|Pescanova|Pescadería, Otros
PESCANOVA caprichos a la romana bolsa 400 gr|PESCANOVA|Pescadería, Otros
PESCANOVA palitos del mar reducido en sal paquete 16 uds 305 gr|PESCANOVA|Pescadería, Otros
Rodaballo con piel, sin aletas y sin agallas|(Sin marca)|Pescadería, Otros
Rollitos de mar Pescanova 450 g.|Pescanova|Pescadería, Otros
ROYAL huevas de islandia de lumpus y capelan tarro 50 gr|ROYAL|Pescadería, Otros
Sucedáneo de caviar negro Ubago Caviartic|Ubago|Pescadería, Otros
Supremas de Aguinaga Carrefour 250 g.|Carrefour|Pescadería, Platos preparados, Otros
Tallarimis Pescanova|Pescanova|Pescadería, Otros
