Producto|Brand|Categories
Bacaladilla en filete 500 g aprox|(Sin marca)|Pescadería, Pescado
Bacalao salado 600 g aprox|(Sin marca)|Pescadería, Pescado
Bacalao seco y salado Ubago|Ubago|Pescadería, Pescado
Bacalao skrei desalado desmigado Calidad y Origen Carrefour 250 g|Carrefour|Pescadería, Pescado
Bacalao skrei salado desmigado Calidad y Origen Carrefour 250 g|Carrefour|Pescadería, Pescado
Boquerones 500 g aprox|(Sin marca)|Pescadería, Pescado
Boquerones Ortiz 80 g.|Ortiz|Pescadería, Pescado
Crema de bacalao Royal 100 g.|Royal|Pescadería, Pescado
DIA filetes de bacalao envase 400 gr|DIA|Pescadería, Pescado
DIA filetes de merluza del cabo sin piel bolsa 600 gr|DIA|Pescadería, Pescado
DIA MARI MARINERA bacalao desmigado desalado bandeja 250 gr|DIA MARI MARINERA|Pescadería, Pescado
DIA MARI MARINERA bacalao desmigado desalado bolsa 250 gr|DIA MARI MARINERA|Pescadería, Pescado
DIA MARI MARINERA trucha ahumada envase 100 gr|DIA|Pescadería, Pescado
DIA migas de bacalao envase 300 gr|DIA|Pescadería, Pescado
DIA rodajas de merluza bolsa 600 gr|DIA|Pescadería, Congelados, Pescado
Dorada abierta a la espalda con espinas y con cabeza|(Sin marca)|Pescadería, Pescado
Dorada de cultivo limpia y entera unidad (peso aprox. 750 gr)|(Sin marca)|Pescadería, Pescado
Dorada de ración 500 g aprox|(Sin marca)|Pescadería, Pescado
EMBUMAR huevas cocidas de merluza 120 gr|EMBUMAR|Pescadería, Pescado
Escalopines de salmón sin espinas|(Sin marca)|Pescadería, Pescado
Filete de bacalao con piel, limpio y sin espinas unidad (peso aprox. 500 gr)|(Sin marca)|Pescadería, Pescado
Filete de Merluza del Cabo Carrefour 600 g.|Carrefour|Pescadería, Congelados, Pescado
Filete de salmón|(Sin marca)|Pescadería, Pescado
Filetes de merluza sin piel Pescanova 400 g.|Pescanova|Pescadería, Pescado
Filetes de trucha|(Sin marca)|Pescadería, Pescado
Filetón de bacalao salado 1,3 kg|(Sin marca)|Pescadería, Pescado
GIRALDO bacalao al pil pil bandeja 300 gr|GIRALDO|Pescadería, Pescado
Hueva de atun aleta amarilla 160 g|(Sin marca)|Pescadería, Pescado
Huevas cocidas de merluzas Embumar|Embumar|Pescadería, Pescado
Lenguado sin limpiar|(Sin marca)|Pescadería, Pescado
Lomo de atún 300 g aprox|(Sin marca)|Pescadería, Pescado
Lubina de ración 500 g aprox|(Sin marca)|Pescadería, Pescado
Lubina en filete 1 ud|(Sin marca)|Pescadería, Pescado
Lubina limpia con cabeza|(Sin marca)|Pescadería, Pescado
MARI MARINERA trucha ahumada envase 100 gr|MARI MARINERA|Pescadería, Pescado
Merluza de lonja 1 kg aprox|(Sin marca)|Pescadería, Pescado
Merluza merca en filetes 500 g aprox|(Sin marca)|Pescadería, Pescado
Migas de bacalao Ubago|Ubago|Pescadería, Pescado
Mojama de atún superior en lonchas Hacendado|Hacendado|Pescadería, Pescado
Mojama de atún superior en taco Ubago|Ubago|Pescadería, Pescado
Mousse de salmón Hacendado|Hacendado|Pescadería, Patés, Pescado
Palitos salados de bacalao Ubago|Ubago|Pescadería, Aperitivos, Pescado
PESCANOVA merluza rebozada al huevo 320 gr|PESCANOVA|Pescadería, Pescado
Peskitos de salmón empanados Pescanova 300 g.|Pescanova|Pescadería, Pescado
Rape a rodajas|(Sin marca)|Pescadería, Pescado
Salmonete pequeño 500 g aprox|(Sin marca)|Pescadería, Pescado
Salmón media pieza abierto en libro sin cabeza y sin espina|(Sin marca)|Pescadería, Pescado
Salmón rodaja unidad (peso aprox. 400 gr)|(Sin marca)|Pescadería, Pescado
Salmón Salvaje Skandia sobre de 90 g.|Skandia|Pescadería, Pescado
Salmón sin aletas y sin escamas|(Sin marca)|Pescadería, Pescado
Sardina ahumada Bogamar 65 g|Bogamar|Pescadería, Pescado
Sardina limpia|(Sin marca)|Pescadería, Pescado
Solomillos de salmón de Noruega 300 g|(Sin marca)|Pescadería, Pescado
Trucha abierta en libro sin cabeza y sin espina|(Sin marca)|Pescadería, Pescado
Varitas de merluza empanada Carrefour 450 g.|Carrefour|Pescadería, Pescado
