Producto|Brand|Categories
AGUINAMAR salpicón de marisco bandeja 225 gr|AGUINAMAR|Pescadería, Preparados y Ahumados
Albóndigas de bacalao Camós congeladas|Camós|Pescadería, Preparados y Ahumados
Anguriñas de surimi Pescanova ultracongeladas|Pescanova|Pescadería, Preparados y Ahumados
Atún Ahumado Carrefour 80 g.|Carrefour|Pescadería, Preparados y Ahumados
Boquerones en vinagre Marvalmar en aceite de girasol|Marvalmar|Pescadería, Preparados y Ahumados
Boquerón en vinagre 265 g|(Sin marca)|Pescadería, Platos preparados, Preparados y Ahumados
Brandada de bacalao Angomar 225 g|Angomar|Pescadería, Platos preparados, Preparados y Ahumados
CLAROS boquerones en vinagre envase 110g|CLAROS|Pescadería, Preparados y Ahumados
DIA MARI MARINERA gulas clásicas refrigeradas bandeja 200 gr|DIA MARI MARINERA|Pescadería, Preparados y Ahumados
DIA palitos de surimi paquete 300 gr|DIA|Pescadería, Preparados y Ahumados
DIA SELECCIÓN MUNDIAL salmón ahumado noruego sobre 200 gr|DIA SELECCIÓN MUNDIAL|Pescadería, Preparados y Ahumados
KRISSIA palitos de surimi paquete 16 uds 266 gr|KRISSIA|Pescadería, Preparados y Ahumados
KRISSIA surimi fresco rallado envase 125 g|KRISSIA|Pescadería, Preparados y Ahumados
La auténtica La Gula del Norte 400 g|La Gula del Norte|Pescadería, Preparados y Ahumados
La Gula del Norete Alminuto con gambas y setas 135 g|La Gula del Norete|Pescadería, Platos preparados, Preparados y Ahumados
LA GULA DEL NORTE al ajillo envase 125 gr|LA GULA DEL NORTE|Pescadería, Preparados y Ahumados
LA GULA DEL NORTE bandeja 220 gr|LA GULA DEL NORTE|Pescadería, Preparados y Ahumados
LA GULA DEL NORTE con gambas al ajillo envase 125 gr|LA GULA DEL NORTE|Pescadería, Preparados y Ahumados
Minilonchas de salmón ahumado Duo Royal pack de 2 unidades de 50 g.|Royal|Pescadería, Preparados y Ahumados
Palitos de surimi Pescanova|Pescanova|Pescadería, Preparados y Ahumados
PESCANOVA anguriñas bandeja 200 gr|PESCANOVA|Pescadería, Preparados y Ahumados
ROYAL bacalao ahumado con aceite de oliva envase 110 gr|ROYAL|Pescadería, Preparados y Ahumados
ROYAL lomo de salmón ahumado sobre 100 gr|ROYAL|Pescadería, Preparados y Ahumados
ROYAL salmón ahumado envase 80 gr|ROYAL|Pescadería, Preparados y Ahumados
ROYAL salmón ahumado mini lonchas envase 2 x 50 gr|ROYAL|Pescadería, Preparados y Ahumados
Salmón ahumado ecológico Skandia 80 g.|Skandia|Pescadería, Preparados y Ahumados
Salmón ahumado Noruego Carrefour 100 g.|Carrefour|Pescadería, Preparados y Ahumados
Salmón ahumado noruego Carrefour 700 g.|Carrefour|Pescadería, Preparados y Ahumados
Salmón ahumado Royal 100 g.|Royal|Pescadería, Preparados y Ahumados
Salmón ahumado Royal Dúo pack de 2 unidades de 90 g.|Royal|Pescadería, Preparados y Ahumados
Salmón noruego ahumado Skandia 80 g.|Skandia|Pescadería, Preparados y Ahumados
Salpicón de marisco 325 g|(Sin marca)|Pescadería, Preparados y Ahumados
Salpicón de marisco congelado 500 g|(Sin marca)|Pescadería, Preparados y Ahumados
Solomillo de salmón ahumado noruego carrefour Selección 150 g.|carrefour Selección|Pescadería, Preparados y Ahumados
Solomillos de salmón ahumado Royal Dúo pack de 2 unidades de 50 g.|Royal|Pescadería, Preparados y Ahumados
Sueños (Angulas) 200 g.|Sueños|Pescadería, Preparados y Ahumados
Surimi en barritas Krissia 200 g.|Krissia|Pescadería, Preparados y Ahumados
Surimi Krissia 450 g.|Krissia|Pescadería, Preparados y Ahumados
Surimi rallado Pescanova|Pescanova|Pescadería, Preparados y Ahumados
Tronquitos de surimi Pescanova ultracongelados|Pescanova|Pescadería, Preparados y Ahumados
