Producto|Brand|Categories
AL PUNTO croquetas de pollo bandeja 8 uds 280 gr|AL PUNTO|Platos preparados
AL PUNTO Ensaladilla rusa bandeja 250 gr|AL PUNTO|Platos preparados
AL PUNTO gazpacho envase 1 lt|AL PUNTO|Platos preparados
AL PUNTO gazpacho pack 3 unidades de 330 ml|AL PUNTO|Platos preparados, Zumos
AL PUNTO lasaña boloñesa gratinada bandeja 350 gr|AL PUNTO|Platos preparados
AL PUNTO Macarrones a la boloñesa bandeja 250 gr|AL PUNTO|Platos preparados
AL PUNTO pizza 6 quesos envase 471 gr|AL PUNTO|Platos preparados
AL PUNTO tortilla de patatas fresca con cebolla caramelizada envase 650 gr|AL PUNTO|Platos preparados
AL PUNTO tortilla de patatas fresca sin cebolla envase 600 gr|AL PUNTO|Platos preparados
Albóndigas con tomate 1 kg aprox|(Sin marca)|Platos preparados
Albóndigas en salsa La Nora|La Nora|Platos preparados
Albóndigas jardinera Carretilla 415 g.|Carretilla|Platos preparados
Alitas de pollo asadas Hacendado|Hacendado|Platos preparados
Alubias a la jardinera Hacendado|Hacendado|Platos preparados
Alubias a la riojana Hacendado|Hacendado|Platos preparados
Alubias a la vasca Litoral 430 g.|Litoral|Platos preparados, Conservas
Alubias caseras Carretilla 300 g.|Carretilla|Platos preparados
Alubias cocidas en salsa de tomate Heinz 420 g.|Heinz|Platos preparados
Alubias con tomate Heinz|Heinz|Platos preparados
Alubias Litoral sin gluten 440 g.|Litoral|Platos preparados
ALVALLE gazpacho original refrigerado envase 1 lt|ALVALLE|Platos preparados
ALVALLE gazpacho suave refrigerado envase 1 lt|Alvalle|Platos preparados, Zumos
Anillas a la romana Carrefour 500 g.|Carrefour|Platos preparados
Arroz 3 delicias con tortilla, surimi y cerdo 1 kg.|(Sin marca)|Platos preparados
Arroz Abanda Carrefour 320 g.|Carrefour|Platos preparados
Arroz con pollo al curry Carretilla 300 g.|Carretilla|Platos preparados
Arroz con pollo asado Hacendado ultracongelado|Hacendado|Platos preparados
Arroz de montaña 300 g|(Sin marca)|Platos preparados
Arroz marinera Hacendado ultracongelado|Hacendado|Platos preparados
Arroz tres delicias 350 g|(Sin marca)|Platos preparados
Arroz tres delicias Carrefour 1 kg.|Carrefour|Platos preparados
Base de pizza Carrefour pack de 3 unidades de 125 g.|Carrefour|Platos preparados
Bases de pizza sin gluten sin lactosa Hacendado ultracongeladas|Hacendado|Platos preparados
Bocados originales de Heüra sin gluten 160 g.|Heüra|Platos preparados
BUITONI Forno di pietra pizza caprese caja 350 gr|Buitoni|Platos preparados
BUITONI masa para empanada paquete 280 gr|BUITONI|Platos preparados
BUITONI masa para empanadillas y postres paquete 16 uds 160 gr|BUITONI|Platos preparados
BUITONI piccolinis capricciosa caja 270 gr|BUITONI|Platos preparados, Congelados
BUITONI ravioli de 4 quesos bandeja 276 gr|BUITONI|Platos preparados, Pasta
Burguer vegetal deluxe Garden Gourmet 180 g.|Garden Gourmet|Platos preparados
Buñuelos de bacalao congelados 400 g|(Sin marca)|Platos preparados
Caldo casero para paella Gallina Blanca 1 l.|Gallina Blanca|Platos preparados, Conservas
Caldo natural para paella o fideuá Don Simón brik 1l.|Don Simón|Platos preparados, Zumos
Caldo para fideuá o arroz negro Hacendado con sofrito|Hacendado|Platos preparados
Caldo para paella de carne y verdura La Fallera 650 ml.|La Fallera|Platos preparados
Caldo para paella de pescado Avecrem 8 pastillas|Avecrem|Platos preparados
Callos a la madrileña De Nuestra Tierra 500 g|De Nuestra Tierra|Platos preparados
Callos a la madrileña La Nora|La Nora|Platos preparados
Callos a la Madrileña Litoral 380 g.|Litoral|Platos preparados, Conservas
Callos con garbanzos La Nora|La Nora|Platos preparados
Calzone de pollo a la barbacoa Hacendado|Hacendado|Platos preparados
CAMPOFRÍO pizza jamón y queso con salsa cheddar envase 360 gr|CAMPOFRÍO|Platos preparados
CAMPOFRÍO Vegalia pizza vegetariana envase 360 gr|CAMPOFRÍO|Platos preparados
Canelones de atún La Cocinera 530 g.|La Cocinera|Platos preparados
