Producto|Brand|Categories
AL PUNTO croquetas de pollo bandeja 8 uds 280 gr|AL PUNTO|Platos preparados, Otros
AL PUNTO Ensaladilla rusa bandeja 250 gr|AL PUNTO|Platos preparados, Ensaladas
AL PUNTO gazpacho envase 1 lt|AL PUNTO|Platos preparados, Cremas
AL PUNTO gazpacho pack 3 unidades de 330 ml|AL PUNTO|Platos preparados, Cremas
AL PUNTO tortilla de patatas fresca con cebolla caramelizada envase 650 gr|AL PUNTO|Platos preparados, Tortillas
AL PUNTO tortilla de patatas fresca sin cebolla envase 600 gr|AL PUNTO|Platos preparados, Tortillas
Albóndigas con tomate 1 kg aprox|(Sin marca)|Platos preparados, Carnes
Albóndigas en salsa La Nora|La Nora|Platos preparados, Carnes
Albóndigas jardinera Carretilla 415 g.|Carretilla|Platos preparados, Carnes
Alitas de pollo asadas Hacendado|Hacendado|Platos preparados, Carnes
Alubias a la jardinera Hacendado|Hacendado|Platos preparados, Legumbres
Alubias a la riojana Hacendado|Hacendado|Platos preparados, Legumbres
Alubias a la vasca Litoral 430 g.|Litoral|Platos preparados, Legumbres
Alubias caseras Carretilla 300 g.|Carretilla|Platos preparados, Legumbres
Alubias cocidas en salsa de tomate Heinz 420 g.|Heinz|Platos preparados, Legumbres
Alubias con tomate Heinz|Heinz|Platos preparados, Legumbres
Alubias Litoral sin gluten 440 g.|Litoral|Platos preparados, Legumbres
ALVALLE gazpacho original refrigerado envase 1 lt|ALVALLE|Platos preparados, Cremas
ALVALLE gazpacho suave refrigerado envase 1 lt|Alvalle|Platos preparados, Cremas
Callos a la madrileña De Nuestra Tierra 500 g|De Nuestra Tierra|Platos preparados, Carnes
Callos a la madrileña La Nora|La Nora|Platos preparados, Carnes
Callos a la Madrileña Litoral 380 g.|Litoral|Platos preparados, Carnes
Callos con garbanzos La Nora|La Nora|Platos preparados, Carnes
Cocido Madrileño Carretilla 440 g,|Carretilla|Platos preparados, Legumbres
Cocido madrileño Hacendado|Hacendado|Platos preparados, Legumbres
Croqueta queso azul y nueces La Cocina De Senen sin gluten 200 g.|La Cocina De Senen|Platos preparados, Otros
Croquetas caseras de jamón ibérico 295 g|(Sin marca)|Platos preparados, Otros
Croquetas de jamón Fridela sin gluten 240 g.|Fridela|Platos preparados, Otros
Croquetas de jamón ibérico La Cocinera 400 g.|La Cocinera|Platos preparados, Otros
Croquetas de merluza y gambas Preli ultracongeladas|Preli|Platos preparados, Otros
Croquetas de pollo|(Sin marca)|Platos preparados, Otros
Croquetas de pollo Carrefour 500 g.|Carrefour|Platos preparados, Otros
