Producto|Brand|Categories
AL PUNTO lasaña boloñesa gratinada bandeja 350 gr|AL PUNTO|Platos preparados, Pasta
AL PUNTO Macarrones a la boloñesa bandeja 250 gr|AL PUNTO|Platos preparados, Pasta
Arroz 3 delicias con tortilla, surimi y cerdo 1 kg.|(Sin marca)|Platos preparados, Arroz
Arroz Abanda Carrefour 320 g.|Carrefour|Platos preparados, Arroz
Arroz con pollo al curry Carretilla 300 g.|Carretilla|Platos preparados, Arroz
Arroz con pollo asado Hacendado ultracongelado|Hacendado|Platos preparados, Arroz
Arroz de montaña 300 g|(Sin marca)|Platos preparados, Arroz
Arroz marinera Hacendado ultracongelado|Hacendado|Platos preparados, Arroz
Arroz tres delicias 350 g|(Sin marca)|Platos preparados, Arroz
Arroz tres delicias Carrefour 1 kg.|Carrefour|Platos preparados, Arroz
BUITONI ravioli de 4 quesos bandeja 276 gr|BUITONI|Platos preparados, Pasta
Canelones de atún La Cocinera 530 g.|La Cocinera|Platos preparados, Pasta
Canelones de carne con bechamel Hacendado ultracongelados|Hacendado|Platos preparados, Pasta
Canelones de carne de cerdo Carrefour 500 g.|Carrefour|Platos preparados, Pasta
Canelones de carne La Cocinera 530 g.|La Cocinera|Platos preparados, Pasta
Canelones de carne y boletus Hacendado|Hacendado|Platos preparados, Pasta
CASA MAS canelones caseros de carne frescos envase 700 gr|CASA MAS|Platos preparados, Pasta
CASA MAS tallarines a la carbonara bandeja 280 gr|CASA MAS|Platos preparados, Pasta
DIA arroz 3 delicias con marisco bolsa 700 gr|DIA|Platos preparados, Arroz
DIA arroz negro con calamar y gambas bolsa 600 gr|DIA|Platos preparados, Arroz
DIA canelones de atún caja 600 gr|DIA|Platos preparados, Pasta
DIA canelones de carne caja 600 gr|DIA|Platos preparados, Pasta
DIA fideos orientales sabor verduras vaso 61 gr|DIA|Platos preparados, Pasta
DIA noodles sabor gamba bolsa bolsa 85 gr|DIA|Platos preparados, Pasta
DIA noodles sabor pollo bolsa bolsa 85 gr|DIA|Platos preparados, Pasta
DIA pizza reina pack 2x350 gr|DIA|Platos preparados, Pasta
EL PAVO placas para lasaña caja 18 uds 200 gr|EL PAVO|Platos preparados, Pasta
ELPOZO arroz integral con pavo bolsa 350 gr|ELPOZO|Platos preparados, Arroz
