Producto|Brand|Categories
Agua oxigenada Deliplus desinfectante|Deliplus|Salud e higiene
Agua oxigenada Dyn´s 250 ml.|Dyn´s|Salud e higiene
Alcohol 96º Deliplus|Deliplus|Salud e higiene
ALGODON CRF PRECORTADO 200GR|Carrefour|Salud e higiene
Apositos ampollas extreme Compeed 5 ud.|Compeed|Salud e higiene
Apósitos gasa algodón 20x20 cm. Loto caja 90 ud.|Loto|Salud e higiene
Apósitos hidrocoloides para ampollas Carrefour 6 ud.|Carrefour|Salud e higiene
Apósitos para ampollas y rozaduras|(Sin marca)|Salud e higiene
ARNIDOL gel stick infantil 15 ml|ARNIDOL|Salud e higiene, Infantil
ARNIDOL pic roll-on alivio de picaduras 30 ml|ARNIDOL|Salud e higiene
BONTE compresa de incontinencia para pérdidas leves paquete 30 uds|BONTE|Salud e higiene, Higiene íntima
BONTE compresas de incontinencia maxi bolsa 12 uds|BONTE|Salud e higiene
BONTE gel lubricante up efecto calor bote 75 ml|BONTE|Salud e higiene
BONTE povidona iodada 10% botella 125 ml|BONTE|Salud e higiene
BONTE preservativos up sensitive caja 12 uds|BONTE|Salud e higiene
Braguita incontinencia talla L Tena lady pants|Tena|Salud e higiene
Braguita incontinencia talla M Tena silhouette color blanco|Tena|Salud e higiene
Braguitas desechables unitalla Indasec Pospart 4 ud.|Indasec|Salud e higiene, Higiene íntima
Bálsamo oriental Deliplus|Deliplus|Salud e higiene
Bálsamo protector y reparador intensivo nariz y labios Halibut 10 ml.|Halibut|Salud e higiene, Labial
Caja Botiquín con Tapa y Bandeja TABERSEO 11,5x25x26,5 cm|TABERSEO|Salud e higiene
Compresa de incontinencia Tena masculina|Tena|Salud e higiene
Compresa sin alas de incontinencia Deliplus mini|Deliplus|Salud e higiene
Compresa tocológica de algodón Maternity 20 ud.|Maternity|Salud e higiene
Compresas incontinencia maxi Carrefour 16 ud.|Carrefour|Salud e higiene
Compresas incontinencia normal Absodys Carrefour 24 ud.|Absodys|Salud e higiene
Compresas para incontinencia de orina normal discreet Tena 24 ud.|Tena|Salud e higiene
Compresas para pequeñas pérdidas de orina ' Absodys Control ' mini Carrefour 20 ud.|Carrefour|Salud e higiene
Compresas para pérdida de orina maxi Ausonia Discreet 16 ud.|Ausonia Discreet|Salud e higiene
Compresas para pérdidas de orina extra Ausonia Discreet 20 ud.|Ausonia Discreet|Salud e higiene, Higiene íntima
Compresas para pérdidas de orina mini Ausonia Discreet 20 ud.|Ausonia Discreet|Salud e higiene
Compresas para pérdidas de orina moderadas o abundantes Maxi Tena Lady 12 ud.|Tena|Salud e higiene
Compresas para pérdidas de orina normal Ausonia Discreet 24 ud.|Ausonia Discreet|Salud e higiene
Crema analgésica antiinflamatoria Fisiocrem 60 ml.|Fisiocrem|Salud e higiene, Cuidado corporal
Crema calm Bepanthol Bayer 20 g.|Bepanthol|Salud e higiene
Crema SOS antimosquitos Mercurochrome 50 ml.|Mercurochrome|Salud e higiene
DEPEND Active fit calzoncillo incontinencia talla M paquete 8 uds|DEPEND|Salud e higiene, Higiene íntima
DEPEND Active fit pants incontinencia talla L paquete 8 uds|DEPEND|Salud e higiene, Higiene íntima
DEPEND braga incontinencia talla S/M paquete 10 uds|DEPEND|Salud e higiene
DUREX lubricante natural intimate tubo 100 ml|DUREX|Salud e higiene
DUREX preservativos contacto total caja 12 uds|DUREX|Salud e higiene, Bienestar sexual
DUREX preservativos mutual climax caja 12 uds|DUREX|Salud e higiene
DUREX preservativos sensitivo suave caja 12 uds|DUREX|Salud e higiene, Bienestar sexual
Esparadrapo 100% textil no tejido Deliplus microporoso|Deliplus|Salud e higiene
Esparadrapo de papel para pieles sensibles Carrefour 1 ud.|Carrefour|Salud e higiene
Esparadrapo Tejido piel 5mx2,5 cm Dr. Sos 1 ud.|Dr. Sos|Salud e higiene
Estimulador Cosmic Pleasuer Control 1 ud.|Control|Salud e higiene
FULLMARKS spray contra piojos y liendres bote 150 ml|FULLMARKS|Salud e higiene
Gafas presbicia + 1.50 Vannali 1 ud.|Vannali|Salud e higiene
Gafas presbicia + 2.50 Vannali 1 ud.|Vannali|Salud e higiene
Gel de mano hidroalcohólico 70% alcohol perfume limón Carrefour 500 ml.|Carrefour|Salud e higiene
Gel de manos higienizante P Beauty Everyday hidroalcohólico|P Beauty Everyday|Salud e higiene
Gel de manos higienizante sin aclarado Deliplus|Deliplus|Salud e higiene
Gel de manos higienizante sin aclarado Seven 70% alcohol|Seven|Salud e higiene
Gel de manos higienizante sin aclarado Xarriot 70% alcohol|Xarriot|Salud e higiene
Gel de masaje Thrombactiv Lacer 200 ml.|Lacer|Salud e higiene
Gel Lubricante Naturals Durex 100 ml.|Durex|Salud e higiene, Bienestar sexual
Gel lubricante nature de aloe 75 ml.|(Sin marca)|Salud e higiene
Gel lubricante íntimo Intimy 70 ml.|Intimy|Salud e higiene, Bienestar sexual
Gel stick de arnica y arpagofito Arnidol 15 ml|Arnidol|Salud e higiene
Gotas humectante en monodosis Iris Line 15 unidades de 0,4 l.|Iris Line|Salud e higiene
Gotas ojos cansados Iris Line 15 ml.|Iris Line|Salud e higiene
Guarda Mascarillas CARREFOUR HOME IM 1,2x11x11 cm - Azul|CARREFOUR HOME|Salud e higiene, Accesorios
HANSAPLAST apósito protector de rozaduras caja 2 uds|HANSAPLAST|Salud e higiene
HANSAPLAST apósitos elastic extra flexible mini pack 6 uds|HANSAPLAST|Salud e higiene
HANSAPLAST apósitos elásticas para dedos caja 16 uds|HANSAPLAST|Salud e higiene
HANSAPLAST apósitos para callos elimina y alivia la presión caja 8 uds|HANSAPLAST|Salud e higiene
HANSAPLAST apósitos universal resistente al agua caja 20 uds|HANSAPLAST|Salud e higiene
HANSAPLAST limpia heridas spray 100 ml|HANSAPLAST|Salud e higiene
HANSAPLAST tiritas resistentes al agua caja 40 unidades|HANSAPLAST|Salud e higiene
HEMOFARM toallitas wc para la higiene en caso de hemorroides envase 60 uds|HEMOFARM|Salud e higiene
Limpiagafas con gamuza Disop|Disop|Salud e higiene
Loción post picaduras en roll-on Relec 15 ml.|Relec|Salud e higiene
Mascarillas higiénicas no reutilizables Deliplus|Deliplus|Salud e higiene
Pack 10 mascarillas higiénicas no reutilizables color azul h91 medical bs.10|(Sin marca)|Salud e higiene
Pants plus silhouette noir talla M Tena 9 ud.|Tena|Salud e higiene
Parches aromáticos con citronela Directsalud|Directsalud|Salud e higiene
Pañal adulto braguita talla L Tena pants plus|Tena|Salud e higiene
Pañal adulto braguita talla M Tena pants plus|Tena|Salud e higiene
Pañal adulto talla G Deliplus|Deliplus|Salud e higiene
Pañal adulto talla M Deliplus|Deliplus|Salud e higiene
Pomada para curar heridas Hansaplast 20 g.|Hansaplast|Salud e higiene
Pomada para proteger la zona del pañal Dermo H Halibut 45 g.|Halibut|Salud e higiene, Infantil
Preservativo sensitivo suave Durex 24 ud.|Durex|Salud e higiene
Preservativos finissimo original Control 12 ud.|Control|Salud e higiene, Bienestar sexual
Preservativos finissimo original Control 24 ud.|Control|Salud e higiene
Preservativos natural Durex 12 ud.|Durex|Salud e higiene
Preservativos natural Durex 24 ud.|Durex|Salud e higiene
Preservativos nature Control 12 ud.|Control|Salud e higiene
Preservativos nature XL xtra large Control 12 ud.|Control|Salud e higiene
Preservativos placer prolongado Durex|Durex|Salud e higiene
Preservativos real feel Durex|Durex|Salud e higiene
Preservativos sensitive On|On|Salud e higiene
Preservativos sensitivo suave Durex 12 ud.|Durex|Salud e higiene
Preservativos sensual touch&feel Control 12 ud.|Control|Salud e higiene
Protector absorbente Sabanindas Extra 60x90cm 20 ud.|Sabanindas|Salud e higiene
Repelente de insectos extra fuerte Relec 1 ud.|Relec|Salud e higiene
Repelente en spray piojos para niños Carrefour 125 ml.|Carrefour|Salud e higiene
Repelente vaporizador multi insectos Autan 100 ml.|Autan|Salud e higiene
Roll on de arnica y calamina Arnidol Pic 30 ml.|Arnidol Pic|Salud e higiene
Roll-on alivio picaduras Deliplus|Deliplus|Salud e higiene
Sal de frutas sabor limón Hacendado|Hacendado|Salud e higiene
SALVELOX esparadrapo blanco 5 m x 2,5 cm|SALVELOX|Salud e higiene
Solución única Contact Care|Contact Care|Salud e higiene
Solución única para lentes de contacto blandas Solupharm 60 ml.|Solupharm|Salud e higiene
Solución única RENU Multiplus Bausch + Lomb 360 ml.|Bausch + Lomb|Salud e higiene
Solución única RENU Multiplus Bausch + Lomb 500 ml.|Bausch + Lomb|Salud e higiene
Spray para el cuidado de fosas nasales Agua de Mar Senti2 100 ml.|Senti2|Salud e higiene
Spray para heridas Hansaplast 100 ml.|Hansaplast|Salud e higiene
Suero fisiológico fuerza media Rhinomer 135 ml.|Rhinomer|Salud e higiene
Suero fisiológico SENTI2 pack 30 monodosis de 5 ml|SENTI2|Salud e higiene
Tapones de silicona Ototap 6 ud.|Ototap|Salud e higiene
Tapón para oídos de silicona Noton 6 ud.|Noton|Salud e higiene
TENA Lady compresas de incontinencia maxi night paquete 12 uds|TENA Lady|Salud e higiene
TENA Lady compresas de incontinencia maxi paquete 12 uds|TENA Lady|Salud e higiene, Higiene íntima
TENA Lady compresas de incontinencia ultra mini paquete 28 uds|TENA Lady|Salud e higiene
TIGEX braguitas desechables para después del parto talla M 42/44 pack 4 uds|TIGEX|Salud e higiene
Tira protectora tejido fijación fuerte Deliplus para cortar|Deliplus|Salud e higiene
Tiras adhesivas aquastop Carrefour 20 ud.|Carrefour|Salud e higiene
Tiras adhesivas efecto acolchado Carrefour 10 ud.|Carrefour|Salud e higiene
Tiras adhesivas infantiles Carrefour Kids 20 ud.|Carrefour Kids|Salud e higiene
Tiras nasales clásicas tamaño grande Breathe Right 10 ud.|Breathe Right|Salud e higiene
Tiras protectoras classic color piel surtidas Doctor San resistentes al agua|Doctor San|Salud e higiene
Tiras protectoras infantiles de plástico Minions Doctor San resistentes al agua|Doctor San|Salud e higiene
Tiras transparentes surtidas Deliplus|Deliplus|Salud e higiene
Toallitas para la higiene en caso de hemorroides Hemofarm 60 ud.|Hemofarm|Salud e higiene
Vaselina Senti2 20 g.|Senti2|Salud e higiene
Venda de algodón de 5x5 cm. Carrefour 2 ud.|Carrefour|Salud e higiene
Vibrador feel XL Control 1 ud.|Control|Salud e higiene, Bienestar sexual
