Strategy,Slots,Fixed,Status,UniqueShapes
frequency,200,30,FAIL,3285
frequency,200,60,FAIL,3280
frequency,200,90,FAIL,3264
frequency,200,120,FAIL,3264
frequency,225,30,FAIL,3456
frequency,225,60,FAIL,3422
frequency,225,90,FAIL,3418
frequency,225,120,FAIL,3418
frequency,254,30,FAIL,3551
frequency,254,60,FAIL,3539
frequency,254,90,FAIL,3536
frequency,254,120,FAIL,3536
atomic_first,200,30,FAIL,2264
atomic_first,200,60,FAIL,2263
atomic_first,200,90,FAIL,2263
atomic_first,200,120,FAIL,2263
atomic_first,225,30,FAIL,2611
atomic_first,225,60,FAIL,2490
atomic_first,225,90,FAIL,2398
atomic_first,225,120,FAIL,2398
atomic_first,254,30,FAIL,3133
atomic_first,254,60,FAIL,3074
atomic_first,254,90,FAIL,3066
atomic_first,254,120,FAIL,3066
atomic_digraph,200,30,FAIL,2347
atomic_digraph,200,60,FAIL,2345
atomic_digraph,200,90,FAIL,2346
atomic_digraph,200,120,FAIL,2346
atomic_digraph,225,30,FAIL,2351
atomic_digraph,225,60,FAIL,2350
atomic_digraph,225,90,FAIL,2351
atomic_digraph,225,120,FAIL,2351
atomic_digraph,254,30,FAIL,2947
atomic_digraph,254,60,FAIL,2947
atomic_digraph,254,90,FAIL,2947
atomic_digraph,254,120,FAIL,2947
