record_index	shape_value	delta_value	shape	shape_2bit_bytes	phrase_plain
0	2097152	2097152	[1]	00	aa
1	2359296	262144	[1 1]	00	aa aa
2	2392064	32768	[1 1 1]	00	aa aa aa
3	2396160	4096	[1 1 1 1]	00	aa aa aa aa
4	2400256	4096	[1 1 1 2]	01	aa aa aa aaaa
5	2404352	4096	[1 1 1 3]	02	aa aa aa aaaaaa
6	2408448	4096	[1 1 1 4]	03	aa aa aa aaaaaaaa
7	2424832	16384	[1 1 2]	04	aa aa aaaa
8	2428928	4096	[1 1 2 1]	04	aa aa aaaa aa
9	2433024	4096	[1 1 2 2]	05	aa aa aaaa aaaa
10	2437120	4096	[1 1 2 3]	06	aa aa aaaa aaaaaa
11	2441216	4096	[1 1 2 4]	07	aa aa aaaa aaaaaaaa
12	2457600	16384	[1 1 3]	08	aa aa aaaaaa
13	2461696	4096	[1 1 3 1]	08	aa aa aaaaaa aa
14	2465792	4096	[1 1 3 2]	09	aa aa aaaaaa aaaa
15	2469888	4096	[1 1 3 3]	0a	aa aa aaaaaa aaaaaa
16	2473984	4096	[1 1 3 4]	0b	aa aa aaaaaa aaaaaaaa
17	2490368	16384	[1 1 4]	0c	aa aa aaaaaaaa
18	2494464	4096	[1 1 4 1]	0c	aa aa aaaaaaaa aa
19	2498560	4096	[1 1 4 2]	0d	aa aa aaaaaaaa aaaa
20	2502656	4096	[1 1 4 3]	0e	aa aa aaaaaaaa aaaaaa
21	2506752	4096	[1 1 4 4]	0f	aa aa aaaaaaaa aaaaaaaa
22	2621440	114688	[1 2]	10	aa aaaa
23	2654208	32768	[1 2 1]	10	aa aaaa aa
24	2658304	4096	[1 2 1 1]	10	aa aaaa aa aa
25	2662400	4096	[1 2 1 2]	11	aa aaaa aa aaaa
26	2666496	4096	[1 2 1 3]	12	aa aaaa aa aaaaaa
27	2670592	4096	[1 2 1 4]	13	aa aaaa aa aaaaaaaa
28	2686976	16384	[1 2 2]	14	aa aaaa aaaa
29	2691072	4096	[1 2 2 1]	14	aa aaaa aaaa aa
30	2695168	4096	[1 2 2 2]	15	aa aaaa aaaa aaaa
31	2699264	4096	[1 2 2 3]	16	aa aaaa aaaa aaaaaa
32	2703360	4096	[1 2 2 4]	17	aa aaaa aaaa aaaaaaaa
33	2719744	16384	[1 2 3]	18	aa aaaa aaaaaa
34	2723840	4096	[1 2 3 1]	18	aa aaaa aaaaaa aa
35	2727936	4096	[1 2 3 2]	19	aa aaaa aaaaaa aaaa
36	2732032	4096	[1 2 3 3]	1a	aa aaaa aaaaaa aaaaaa
37	2736128	4096	[1 2 3 4]	1b	aa aaaa aaaaaa aaaaaaaa
38	2752512	16384	[1 2 4]	1c	aa aaaa aaaaaaaa
39	2756608	4096	[1 2 4 1]	1c	aa aaaa aaaaaaaa aa
40	2760704	4096	[1 2 4 2]	1d	aa aaaa aaaaaaaa aaaa
41	2764800	4096	[1 2 4 3]	1e	aa aaaa aaaaaaaa aaaaaa
42	2768896	4096	[1 2 4 4]	1f	aa aaaa aaaaaaaa aaaaaaaa
43	2883584	114688	[1 3]	20	aa aaaaaa
44	2916352	32768	[1 3 1]	20	aa aaaaaa aa
45	2920448	4096	[1 3 1 1]	20	aa aaaaaa aa aa
46	2924544	4096	[1 3 1 2]	21	aa aaaaaa aa aaaa
47	2928640	4096	[1 3 1 3]	22	aa aaaaaa aa aaaaaa
48	2932736	4096	[1 3 1 4]	23	aa aaaaaa aa aaaaaaaa
49	2949120	16384	[1 3 2]	24	aa aaaaaa aaaa
50	2953216	4096	[1 3 2 1]	24	aa aaaaaa aaaa aa
51	2957312	4096	[1 3 2 2]	25	aa aaaaaa aaaa aaaa
52	2961408	4096	[1 3 2 3]	26	aa aaaaaa aaaa aaaaaa
53	2965504	4096	[1 3 2 4]	27	aa aaaaaa aaaa aaaaaaaa
54	2981888	16384	[1 3 3]	28	aa aaaaaa aaaaaa
55	2985984	4096	[1 3 3 1]	28	aa aaaaaa aaaaaa aa
56	2990080	4096	[1 3 3 2]	29	aa aaaaaa aaaaaa aaaa
57	2994176	4096	[1 3 3 3]	2a	aa aaaaaa aaaaaa aaaaaa
58	2998272	4096	[1 3 3 4]	2b	aa aaaaaa aaaaaa aaaaaaaa
59	3014656	16384	[1 3 4]	2c	aa aaaaaa aaaaaaaa
60	3018752	4096	[1 3 4 1]	2c	aa aaaaaa aaaaaaaa aa
61	3022848	4096	[1 3 4 2]	2d	aa aaaaaa aaaaaaaa aaaa
62	3026944	4096	[1 3 4 3]	2e	aa aaaaaa aaaaaaaa aaaaaa
63	3031040	4096	[1 3 4 4]	2f	aa aaaaaa aaaaaaaa aaaaaaaa
64	3145728	114688	[1 4]	30	aa aaaaaaaa
65	3178496	32768	[1 4 1]	30	aa aaaaaaaa aa
66	3182592	4096	[1 4 1 1]	30	aa aaaaaaaa aa aa
67	3186688	4096	[1 4 1 2]	31	aa aaaaaaaa aa aaaa
68	3190784	4096	[1 4 1 3]	32	aa aaaaaaaa aa aaaaaa
69	3194880	4096	[1 4 1 4]	33	aa aaaaaaaa aa aaaaaaaa
70	3211264	16384	[1 4 2]	34	aa aaaaaaaa aaaa
71	3215360	4096	[1 4 2 1]	34	aa aaaaaaaa aaaa aa
72	3219456	4096	[1 4 2 2]	35	aa aaaaaaaa aaaa aaaa
73	3223552	4096	[1 4 2 3]	36	aa aaaaaaaa aaaa aaaaaa
74	3227648	4096	[1 4 2 4]	37	aa aaaaaaaa aaaa aaaaaaaa
75	3244032	16384	[1 4 3]	38	aa aaaaaaaa aaaaaa
76	3248128	4096	[1 4 3 1]	38	aa aaaaaaaa aaaaaa aa
77	3252224	4096	[1 4 3 2]	39	aa aaaaaaaa aaaaaa aaaa
78	3256320	4096	[1 4 3 3]	3a	aa aaaaaaaa aaaaaa aaaaaa
79	3260416	4096	[1 4 3 4]	3b	aa aaaaaaaa aaaaaa aaaaaaaa
80	3276800	16384	[1 4 4]	3c	aa aaaaaaaa aaaaaaaa
81	3280896	4096	[1 4 4 1]	3c	aa aaaaaaaa aaaaaaaa aa
82	3284992	4096	[1 4 4 2]	3d	aa aaaaaaaa aaaaaaaa aaaa
83	3289088	4096	[1 4 4 3]	3e	aa aaaaaaaa aaaaaaaa aaaaaa
84	3293184	4096	[1 4 4 4]	3f	aa aaaaaaaa aaaaaaaa aaaaaaaa
85	4194304	901120	[2]	40	aaaa
86	4456448	262144	[2 1]	40	aaaa aa
