rank,syllable,length,count,example_words
1,de,2,5915,bandeja|cordero|de|delicious|depilatoria|desde|verde|verdejo
2,la,2,2819,botella|chocolate|depilatoria|helado|la|lago|lata|paletilla
3,as,2,2708,acelgas|botellas|chuletas|girasol|lisas|patatas|piezas|semillas
4,es,2,2612,desechables|escalopines|guantes|mejillones|meses|queso|rotuladores|unidades
5,te,2,2592,ante|blanqueante|bote|chocolate|detergente|lactea|materia|tomate
6,en,2,2466,aguardiente|avena|daen|detergente|en|envase|hacendado|valentina
7,ra,2,2277,barra|blumara|cera|extra|extrafino|ginebra|para|pera
8,do,2,2081,batido|desnatado|dove|giraldo|hacendado|helado|orlando|rallado
9,al,2,1732,al|alimenticio|escalopines|giraldo|natural|oral|original|total
10,ad,2,1689,anadido|cuidado|danados|lavados|reavivador|reparador|unidades|vaporizador
11,or,2,1689,color|desodorante|fluor|oral|oreal|original|reavivador|reparador
12,da,2,1686,bebida|congelada|daen|dama|danone|florida|hacendado|mermelada
13,car,3,1521,car|caramelos|carbon|carmencita|carne|carrefour|carrizal|carta
14,co,2,1517,chocolate|clasico|coco|cocomi|cola|colutorio|couleur|refresco
15,ca,2,1498,bacalao|cacao|caja|caramelo|casero|categoria|dentifrica|fabrica
16,os,2,1487,cabellos|cuartos|danados|lavados|manos|medianos|palitos|surtidos
17,el,2,1442,botella|cabello|el|elvive|isabel|miel|mozzarella|piel
18,an,2,1427,anadido|anillas|ante|antiparasitaria|botanicals|naranja|orlando|seitan
19,ta,2,1405,antiparasitaria|desnatado|ermita|horchata|lata|pasta|pipeta|platano
20,con,3,1402,con|concentradas|concentrado|congelada|congeladas|congelado|conos|descongelado
21,no,2,1400,bano|danone|extrafino|no|platano|somontano|tamano|vino
22,to,2,1379,colutorio|depilatoria|frito|lactosa|perfecto|tarrito|tinto|tomate
23,ref,3,1345,carrefour|reflectante|reflets|refrescante|refrescantes|refresco|refrigeradas|refrigerante
24,na,2,1292,berlina|desnatado|fregona|magina|manzana|nata|romana|valentina
25,our,3,1259,carefour|carrefour|colour|pompadour|toujours
26,ma,2,1179,blumara|dama|lima|materia|mayonesa|romana|tamano|tomate
27,er,2,1176,after|aromatherapy|ermita|mujer|queratina|reserva|sierra|tierra
28,ri,2,1115,antiparasitaria|categoria|colutorio|dentifrica|depilatoria|florida|materia|tarrito
29,pa,2,1099,antiparasitaria|paleta|para|patata|pato|preparado|pulpa|tripa
30,on,2,1085,esponja|jabon|leon|limon|mejillones|melocoton|simon|somontano
31,sa,2,1057,bolsa|borsao|fresa|grasa|lactosa|mayonesa|rosa|salsa
32,ro,2,1014,casero|cordero|hero|negro|pedro|romana|rosa|zero
33,lo,2,980,cabello|caramelo|cepillo|lote|panecillo|pelo|pollo|talonera
34,ar,2,966,ariel|aromatherapy|aromatizante|azhar|azucar|canarios|diario|reparador
35,id,2,942,acido|anadido|bifidus|cuidado|fluido|navidad|unidad|unidades
36,sin,3,908,sin|single
